expected_class,global_id,source_anchor_x_mm,source_anchor_y_mm,source_anchor_z_mm,target_x_mm,target_y_mm,target_z_mm,anchor_kind,contact_group,basis,confidence,human_review_required,status
IfcFurniture,0EjdAJnV5AxxJ1FbxzQY3I,822.194028,-1377.473593,668.997734,822,-1377,669,physical_edge_midpoint,FURN-G01,FURN-G01；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,0KOZ2zF5X9Nx_1fZfaon0m,822.194052,-1377.473593,668.997734,822,-1377,669,physical_edge_midpoint,FURN-G01,FURN-G01；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,0pXVcnUbz8VQurx0yCzZMi,-377.806020,-1377.473593,668.997734,-378,-1377,669,physical_edge_midpoint,FURN-G01,FURN-G01；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,0tM_AFFsLCsfwouf4rVzw9,222.194004,-1377.473593,668.997734,222,-1377,669,physical_edge_midpoint,FURN-G01,FURN-G01；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,1$8Qz3qyrCNh2OkNLTBz8K,-377.820599,-2497.475624,668.997555,-378,-2497,669,physical_edge_midpoint,FURN-G01,FURN-G01；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,1rEY33mWr2nxgCw3qNVY0n,222.170901,-2497.475386,863.997548,222,-2497,864,physical_edge_midpoint,FURN-G01,FURN-G01；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3KK_SgXEX5zRUBrRmnKqCR,822.170925,-2497.475386,863.997548,822,-2497,864,physical_edge_midpoint,FURN-G01,FURN-G01；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3TzcgvX591BfiTgtWaS4C4,-977.820623,-2497.475624,668.997555,-978,-2497,669,physical_edge_midpoint,FURN-G01,FURN-G01；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,0NyJR9FMf6sBa1V_Jb5FkK,1422.194755,-1725.474353,708.000000,1422,-1725,708,existing_vertex,FURN-G01,FURN-G01；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,1MXBM_4krBEgVwJi3PFF3A,222.194719,-1725.474353,708.000000,222,-1725,708,existing_vertex,FURN-G01,FURN-G01；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,2$z307bK1B_v__FItEcqkC,1438.171013,-1377.475245,14.000000,1438,-1377,14,existing_vertex,FURN-G01,FURN-G01；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3EaO22qXv38wM47SaLX1Yk,-977.806108,-1377.475365,14.000000,-978,-1377,14,existing_vertex,FURN-G01,FURN-G01；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,1JMXCthV161Ay1zyyjMeYY,-977.820575,-1423.473851,14.000000,-978,-1423,14,existing_vertex,FURN-G01,FURN-G01；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3s1sv3rivC_B$dTKwCA4kt,-977.820575,-2435.475723,14.000000,-978,-2435,14,existing_vertex,FURN-G01,FURN-G01；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,34ibuNihL8HQ7qG1pk9Bvn,-393.806143,-2497.475365,767.000000,-394,-2497,767,existing_vertex,FURN-G01,FURN-G01；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,1W$zPXJs93UfXs41zQw4oi,1422.193857,-1377.475365,886.000000,1422,-1377,886,existing_vertex,FURN-G01,FURN-G01；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,2PE$0_g2r8SRhDD21$0slH,2602.790861,-5029.719574,82.000000,2603,-5030,82,existing_vertex,FURN-G02,FURN-G02；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3dhCNvdyj2ChIzarSRLztN,2602.790384,-4147.719288,60.000000,2603,-4148,60,existing_vertex,FURN-G02,FURN-G02；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,2zI$UMamH5GwexMsI4p5LC,2602.790384,-5029.719193,82.000000,2603,-5030,82,existing_vertex,FURN-G02,FURN-G02；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,25drCvvZjA$xIp_iFFOLwt,3152.791006,-5065.723479,60.000000,3153,-5066,60,existing_vertex,FURN-G02,FURN-G02；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,0n8o0OmS14dPMzkq7lmKwu,976.006470,-5099.715664,504.000000,976,-5100,504,physical_edge_midpoint,FURN-G02,FURN-G02；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,33w0xYssjAauNQOhCbE0MS,2101.030540,-5099.715664,842.000000,2101,-5100,842,existing_vertex,FURN-G02,FURN-G02；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,2iMAo4woT84gCqVpuNv1yV,2627.791006,-5080.712898,838.000000,2628,-5081,838,existing_vertex,FURN-G02,FURN-G02；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,0oa9P8fWXBR9CrIiSdqzDf,2627.791006,-5047.724373,838.000000,2628,-5048,838,existing_vertex,FURN-G02,FURN-G02；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,2Ow9_uborBZBD0$5xNeixV,2602.790861,-3847.719574,838.000000,2603,-3848,838,existing_vertex,FURN-G02,FURN-G02；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,0D_hmxPvb3WOoXxhcnHyq6,1201.025105,-5099.713749,842.000000,1201,-5100,842,existing_vertex,FURN-G02,FURN-G02；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3Gd5XFWpTEVQA12Tfubj6B,2097.790384,-5099.713749,842.000000,2098,-5100,842,existing_vertex,FURN-G02,FURN-G02；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3SN45IALL1se6tWUWfwjkR,2599.790043,-4147.725201,842.000000,2600,-4148,842,existing_vertex,FURN-G02,FURN-G02；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,0N5uQVMzvDsOlNej5ARtSG,2580.790043,-4147.724915,842.000000,2581,-4148,842,existing_vertex,FURN-G02,FURN-G02；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,2wYNbs_Ef9TvMEPnqTIHs$,2101.024580,-5080.715179,842.000000,2101,-5081,842,existing_vertex,FURN-G02,FURN-G02；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,2y9Xds0sP3Ph_Hx7QACT58,2577.791006,-5077.712898,888.000000,2578,-5078,888,existing_vertex,FURN-G02,FURN-G02；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,1cnIoVZAb8rvfUR$FD624T,3056.000000,-2144.000000,60.000000,3056,-2144,60,existing_surface_point,FURN-G03,FURN-G03；原几何水平表面内已有整数毫米点；仅重设 ObjectPlacement 原点，不移动世界几何,1.00,no,approved
IfcFurniture,3GQ9dmskr9YeZ2vmNXn9Vs,2604.873688,-2046.205330,2383.000000,2605,-2046,2383,existing_vertex,FURN-G03,FURN-G03；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,24d7ofvFTBex9rCCHh3Tsm,2566.000000,-2046.000000,860.000000,2566,-2046,860,existing_surface_point,FURN-G03,FURN-G03；原几何水平表面内已有整数毫米点；仅重设 ObjectPlacement 原点，不移动世界几何,1.00,no,approved
IfcFurniture,0R_0Tg1w5C9RhW9jSCjiok,2604.874725,-2724.401062,2383.000000,2605,-2724,2383,existing_vertex,FURN-G03,FURN-G03；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,1Ra2MgEgT6XeMGzuXIxbfl,3084.023285,-3252.788429,0.000000,3084,-3253,0,physical_edge_midpoint,FURN-G03,FURN-G03；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3xZ8kydDnDhP1qEthmSe69,2600.000000,-2724.000000,2383.000000,2600,-2724,2383,existing_surface_point,FURN-G03,FURN-G03；原几何水平表面内已有整数毫米点；仅重设 ObjectPlacement 原点，不移动世界几何,1.00,no,approved
IfcFurniture,28x_EpoH5EIQqAq1LbXGvj,2613.066620,-1420.004295,60.000000,2613,-1420,60,physical_edge_midpoint,FURN-G03,FURN-G03；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3$pRSkBwj3GBEWO3wFtT$p,2638.876129,-3306.404419,60.000000,2639,-3306,60,existing_vertex,FURN-G03,FURN-G03；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3Iw2dPDZD5Mfs_rhY0SbxO,2669.022827,-3555.021740,0.000000,2669,-3555,0,physical_edge_midpoint,FURN-G03,FURN-G03；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,1hxf4jdsL2Be5WM4fHYpIW,2860.107725,-3682.406898,0.000000,2860,-3682,0,physical_edge_midpoint,FURN-G03,FURN-G03；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3W49YFIC1BfgfuUQBU6ylN,-1451.039127,-4902.951035,0.000000,-1451,-4903,0,physical_edge_midpoint,FURN-G04,FURN-G04；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3weUZWAWv7_fzNorBDCdeL,-1316.039530,-4387.950432,10.000000,-1316,-4388,10,physical_edge_midpoint,FURN-G04,FURN-G04；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,0g9nlU$MjAMRCzhYImmt98,-1319.786215,-4334.201603,838.000000,-1320,-4334,838,existing_vertex,FURN-G04,FURN-G04；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,02IFRV8lH2DOUrX4F4N2rR,-1319.792461,-4331.200069,842.000000,-1320,-4331,842,existing_vertex,FURN-G04,FURN-G04；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,0whsxXmfbD19z3Z9JaiItG,6237.648399,1958.567574,15.183449,6238,1959,15,existing_vertex,FURN-G06,FURN-G06；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3UYImQPLf1uu3JCcET1_6C,6287.611412,2437.561316,2161.183449,6288,2438,2161,existing_vertex,FURN-G06,FURN-G06；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,2mPTt7$nvBSAn28I9NWt6T,-2571.969271,-1555.980541,10.101318,-2572,-1556,10,existing_vertex,FURN-G07,FURN-G07；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,2LN3hvkNfE$P7IVE0GkeKc,-2571.969271,-955.980817,10.101318,-2572,-956,10,existing_vertex,FURN-G07,FURN-G07；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3cmikd9MTB$egM5KQaNgUf,-4593.024788,527.981565,2365.000153,-4593,528,2365,physical_edge_midpoint,FURN-G11,FURN-G11；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3yuXF4PtnBHgIXDlmXFJ$7,5896.972553,896.036338,48.002023,5897,896,48,physical_edge_midpoint,FURN-G12,FURN-G12；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
