selector_kind,selector_value,installation_role,basis,confidence,human_review_required,status
type_name,HD900,fixed_furniture,类型、KITCHEN 容器与 900×47×50 mm 条状几何共同识别为固定柜体五金,0.99,no,implemented
type_name,HIMA01,fixed_furniture,类型、BATHM 容器与 826×1685×999 mm 几何共同识别为主卫固定柜体,0.99,no,implemented
type_name,HL,fixed_furniture,类型、VVD 容器与 53×30×2323 mm 全高条状几何共同识别为固定柜体五金,0.99,no,implemented
type_name,HP,fixed_furniture,类型、VVD 容器与 55×360×2323 mm 全高几何共同识别为固定柜体部件,0.99,no,implemented
type_name,Libelle,fixed_furniture,IfcFurnitureType.SHELF、KITCHEN 容器与 1342×337×2400 mm 全高层架几何共同证明固定安装,0.99,no,implemented
type_name,PAN01,fixed_furniture,类型、VVD 容器与 617×300×2383 mm 全高几何共同识别为固定柜体板件,0.99,no,implemented
type_name,POT1200,fixed_furniture,类型、VVD 容器与 1200×300×179 mm 几何共同识别为固定柜体内部单元,0.99,no,implemented
type_name,POT600,fixed_furniture,类型、VVD 容器与 600×300×179 mm 几何共同识别为固定柜体内部单元,0.99,no,implemented
type_name,SB01,fixed_furniture,类型、VVD 容器与 16 mm 薄板几何共同识别为固定柜体侧板,0.99,no,implemented
type_name,SB02,fixed_furniture,类型、VVD 容器与 16 mm 薄板几何共同识别为固定柜体侧板,0.99,no,implemented
type_name,SB03,fixed_furniture,用户确认 SB03 为柜子侧板并固定安装,1.00,no,implemented
type_name,SHE01,fixed_furniture,IfcFurnitureType.SHELF、LIVING 容器与 203×839×2146 mm 全高层架几何共同证明固定安装,0.99,no,implemented
type_name,SIS04,fixed_furniture,类型、KITCHEN 容器与 369×1962×722 mm 高位柜体几何共同证明固定安装,0.99,no,implemented
type_name,SKI03,fixed_furniture,用户确认 SKI03 为柜子踢脚板并固定安装,1.00,no,implemented
type_name,SKI04,fixed_furniture,与已确认 SKI03 同系列且具有 2400×16×60 mm 踢脚板几何,0.99,no,implemented
type_name,W06L,fixed_furniture,类型、KITCHEN 容器与 1100×750×60 mm 薄板几何共同识别为固定柜体板件,0.99,no,implemented
type_name,WD01,fixed_furniture,类型、BEDM 容器与 674×1203×2390 mm 全高几何共同识别为固定衣柜单元,0.99,no,implemented
type_name,WD01L,fixed_furniture,类型、BEDM 容器与 674×603×2390 mm 全高几何共同识别为固定衣柜单元,0.99,no,implemented
type_name,WD02,fixed_furniture,类型、LIVING 容器与 628×600×2393 mm 全高几何共同识别为固定柜体单元,0.99,no,implemented
type_name,WD03,fixed_furniture,类型、BEDG 容器与 1313×586×2390 mm 全高几何共同识别为固定衣柜单元,0.99,no,implemented
type_name,BST01,loose_furniture,类型、BEDM 容器与 399×399×450 mm 几何共同识别为活动床头柜,0.99,no,implemented
type_name,BST02,loose_furniture,类型、BEDM 容器与 578×560×250 mm 几何共同识别为活动床头柜,0.99,no,implemented
type_name,BST03,loose_furniture,类型、BEDG 容器与 462×462×466 mm 几何共同识别为活动床头柜,0.99,no,implemented
global_id,19MpdkWqXC7uhUNhLQgrce,fixed_furniture,对象名 505 UP V1.LP.S、LIVING 容器与 2912×436×2380 mm 全高柜体几何共同证明固定安装,0.99,no,implemented
global_id,1W$zPXJs93UfXs41zQw4oi,fixed_furniture,对象名 VVD Island worktop board 明确为岛台固定台面板,1.00,no,implemented
global_id,34ibuNihL8HQ7qG1pk9Bvn,fixed_furniture,对象名 VVD Island Inner Sideboard 明确为岛台固定侧板,1.00,no,implemented
