record_kind,queue_id,global_id,ifc_class,name,description,object_type,predefined_type,type_global_id,type_name,type_description,type_occurrence_count,container,observable_role,bbox_min_mm,bbox_max_mm,dimensions_mm,basis,confidence,human_review_required,review_status,missing_or_unverified,stop_condition,source_ifc_sha256
actual_instance,M401-RCP-CONTEXT-001,0JcqcpduD9YRHOQJ2Q92gO,IfcBuildingElementProxy,Living Room Drop Ceiling,,,PARTIAL,,,,,DCL,high_level_ceiling_or_led_coordination_context,"[0.175476,-3370.00227,2670.0]","[5750.179291,2979.953051,2770.0]","[5750.003815,6349.95532,100.0]",Exact IfcBuildingElementProxy name and elevated world geometry are observable; the object is retained only as RCP coordination context.,1.0,no,OBSERVED_CONTEXT,"ceiling build-up, support, access zones and relation to unmodelled MEP equipment","Do not treat a ceiling/LED proxy as HVAC equipment, a service opening or an access panel.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-RCP-CONTEXT-001,0goB22sEf0W9caxUqAkTwJ,IfcBuildingElementProxy,Kitchen Drop Ceiling,,,PARTIAL,,,,,DCL,high_level_ceiling_or_led_coordination_context,"[0.176407,-5200.0028,2400.0]","[2800.174454,-3700.002312,2400.0]","[2799.998047,1500.000488,0.0]",Exact IfcBuildingElementProxy name and elevated world geometry are observable; the object is retained only as RCP coordination context.,1.0,no,OBSERVED_CONTEXT,"ceiling build-up, support, access zones and relation to unmodelled MEP equipment","Do not treat a ceiling/LED proxy as HVAC equipment, a service opening or an access panel.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-RCP-CONTEXT-001,0jI$MQCH9A_w5aml5rEXbg,IfcBuildingElementProxy,Public Bathroom Ceiling,,,COMPLEX,,,,,DCL,high_level_ceiling_or_led_coordination_context,"[-1799.817734,1369.997566,2400.0]","[-199.82164,3799.997444,2540.0]","[1599.996094,2429.999878,140.0]",Exact IfcBuildingElementProxy name and elevated world geometry are observable; the object is retained only as RCP coordination context.,1.0,no,OBSERVED_CONTEXT,"ceiling build-up, support, access zones and relation to unmodelled MEP equipment","Do not treat a ceiling/LED proxy as HVAC equipment, a service opening or an access panel.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-RCP-CONTEXT-001,0w_j3LiLHFX8uK$fI3H5IP,IfcBuildingElementProxy,Cabinet Drop Ceiling,,,PARTIAL,,,,,DCL,high_level_ceiling_or_led_coordination_context,"[-439.825058,-4400.00248,2400.0]","[5900.178909,-1050.002396,2720.0]","[6340.003967,3350.000083,320.0]",Exact IfcBuildingElementProxy name and elevated world geometry are observable; the object is retained only as RCP coordination context.,1.0,no,OBSERVED_CONTEXT,"ceiling build-up, support, access zones and relation to unmodelled MEP equipment","Do not treat a ceiling/LED proxy as HVAC equipment, a service opening or an access panel.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-RCP-CONTEXT-001,1_eTV3TaD0ewHXs5A2gCk0,IfcBuildingElementProxy,LED Curtain Sub 2,,,PARTIAL,,,,,DCL,high_level_ceiling_or_led_coordination_context,"[-4699.812889,3399.997234,2400.0]","[-1899.801254,3599.997282,2600.0]","[2800.011635,200.000048,200.0]",Exact IfcBuildingElementProxy name and elevated world geometry are observable; the object is retained only as RCP coordination context.,1.0,no,OBSERVED_CONTEXT,"ceiling build-up, support, access zones and relation to unmodelled MEP equipment","Do not treat a ceiling/LED proxy as HVAC equipment, a service opening or an access panel.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-RCP-CONTEXT-001,1wtOLxfnP3ZfqIIkLZaTFU,IfcBuildingElementProxy,Guest Bedroom Ceiling,,,PARTIAL,,,,,DCL,high_level_ceiling_or_led_coordination_context,"[-4699.843407,799.99727,2720.0]","[-1899.801254,3199.997187,2820.0]","[2800.042152,2399.999917,100.0]",Exact IfcBuildingElementProxy name and elevated world geometry are observable; the object is retained only as RCP coordination context.,1.0,no,OBSERVED_CONTEXT,"ceiling build-up, support, access zones and relation to unmodelled MEP equipment","Do not treat a ceiling/LED proxy as HVAC equipment, a service opening or an access panel.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-RCP-CONTEXT-001,24GcPrcEPB0QT3HxbcvPtq,IfcBuildingElementProxy,Balcony Drop Ceiling,,,PARTIAL,,,,,DCL,high_level_ceiling_or_led_coordination_context,"[0.179529,3399.998116,2720.0]","[3800.179529,4700.046944,2720.0]","[3800.0,1300.048828,0.0]",Exact IfcBuildingElementProxy name and elevated world geometry are observable; the object is retained only as RCP coordination context.,1.0,no,OBSERVED_CONTEXT,"ceiling build-up, support, access zones and relation to unmodelled MEP equipment","Do not treat a ceiling/LED proxy as HVAC equipment, a service opening or an access panel.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-RCP-CONTEXT-001,26M2TYddDFzeD98_XKwBgZ,IfcBuildingElementProxy,LED Curtain Main,,,PARTIAL,,,,,DCL,high_level_ceiling_or_led_coordination_context,"[-6379.842758,-4800.001144,2400.0]","[-3399.842262,-4600.000858,2600.0]","[2980.000496,200.000286,200.0]",Exact IfcBuildingElementProxy name and elevated world geometry are observable; the object is retained only as RCP coordination context.,1.0,no,OBSERVED_CONTEXT,"ceiling build-up, support, access zones and relation to unmodelled MEP equipment","Do not treat a ceiling/LED proxy as HVAC equipment, a service opening or an access panel.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-RCP-CONTEXT-001,2B9gGJ5197jvvwqUj7h8_U,IfcBuildingElementProxy,Dining Ceiling,,,PARTIAL,,,,,DCL,high_level_ceiling_or_led_coordination_context,"[-3199.843124,-4400.001335,2400.0]","[-399.843124,-1200.000725,2720.0]","[2800.0,3200.00061,320.0]",Exact IfcBuildingElementProxy name and elevated world geometry are observable; the object is retained only as RCP coordination context.,1.0,no,OBSERVED_CONTEXT,"ceiling build-up, support, access zones and relation to unmodelled MEP equipment","Do not treat a ceiling/LED proxy as HVAC equipment, a service opening or an access panel.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-RCP-CONTEXT-001,2HNrakrjbCTuX3CgB2ORBO,IfcBuildingElementProxy,Bedroom Ceiling,,,PARTIAL,,,,,DCL,high_level_ceiling_or_led_coordination_context,"[-6379.842758,-4400.001526,2720.0]","[-3199.842453,-1200.00124,2820.0]","[3180.000305,3200.000286,100.0]",Exact IfcBuildingElementProxy name and elevated world geometry are observable; the object is retained only as RCP coordination context.,1.0,no,OBSERVED_CONTEXT,"ceiling build-up, support, access zones and relation to unmodelled MEP equipment","Do not treat a ceiling/LED proxy as HVAC equipment, a service opening or an access panel.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-RCP-CONTEXT-001,2PT3O6ohvAxPR570xBmdX6,IfcBuildingElementProxy,Guest Bedroom Low Ceiling,,,PARTIAL,,,,,DCL,high_level_ceiling_or_led_coordination_context,"[-4699.843124,199.998817,2400.0]","[-1899.832382,799.998909,2720.0]","[2800.010742,600.000092,320.0]",Exact IfcBuildingElementProxy name and elevated world geometry are observable; the object is retained only as RCP coordination context.,1.0,no,OBSERVED_CONTEXT,"ceiling build-up, support, access zones and relation to unmodelled MEP equipment","Do not treat a ceiling/LED proxy as HVAC equipment, a service opening or an access panel.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-RCP-CONTEXT-001,3$lrsbcgT3Jg4KFoQ9xsL_,IfcBuildingElementProxy,LED Curtain Sub1,,,PARTIAL,,,,,DCL,high_level_ceiling_or_led_coordination_context,"[-2799.841881,-4800.001144,2400.0]","[-399.843216,-4600.000858,2600.0]","[2399.998665,200.000286,200.0]",Exact IfcBuildingElementProxy name and elevated world geometry are observable; the object is retained only as RCP coordination context.,1.0,no,OBSERVED_CONTEXT,"ceiling build-up, support, access zones and relation to unmodelled MEP equipment","Do not treat a ceiling/LED proxy as HVAC equipment, a service opening or an access panel.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-RCP-CONTEXT-001,30YXVJrQjBEgTfH5xSTneR,IfcBuildingElementProxy,Powder Ceiling,,,PARTIAL,,,,,DCL,high_level_ceiling_or_led_coordination_context,"[-1799.823761,-0.001475,2400.0]","[-199.821472,1269.99867,2640.0]","[1600.002289,1270.000145,240.0]",Exact IfcBuildingElementProxy name and elevated world geometry are observable; the object is retained only as RCP coordination context.,1.0,no,OBSERVED_CONTEXT,"ceiling build-up, support, access zones and relation to unmodelled MEP equipment","Do not treat a ceiling/LED proxy as HVAC equipment, a service opening or an access panel.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-RCP-CONTEXT-001,3BNIc86L19ZBCt40wmF$KZ,IfcBuildingElementProxy,Private Bathroom Ceiling,,,COMPLEX,,,,,DCL,high_level_ceiling_or_led_coordination_context,"[-6379.813828,99.997871,2400.0]","[-4899.813828,3199.997444,2480.0]","[1480.0,3099.999573,80.0]",Exact IfcBuildingElementProxy name and elevated world geometry are observable; the object is retained only as RCP coordination context.,1.0,no,OBSERVED_CONTEXT,"ceiling build-up, support, access zones and relation to unmodelled MEP equipment","Do not treat a ceiling/LED proxy as HVAC equipment, a service opening or an access panel.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-RCP-CONTEXT-001,3Kxq1aQl9EyfzEhA_7IoLA,IfcBuildingElementProxy,Alley Ceiling,,,PARTIAL,,,,,DCL,high_level_ceiling_or_led_coordination_context,"[-6499.843597,-1200.00124,2400.0]","[0.156403,-0.001937,2720.0]","[6500.0,1199.999303,320.0]",Exact IfcBuildingElementProxy name and elevated world geometry are observable; the object is retained only as RCP coordination context.,1.0,no,OBSERVED_CONTEXT,"ceiling build-up, support, access zones and relation to unmodelled MEP equipment","Do not treat a ceiling/LED proxy as HVAC equipment, a service opening or an access panel.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
type_definition,M401-TYPE-001,,IfcElectricApplianceType,,,,USERDEFINED,0greWYU5v9BBjuI$1v0flf,AC1180,RPIZ-71FSLN5Q/P 1180x447x192,1,,assigned_ac_equipment_type_definition,,,,IfcElectricApplianceType ElementType=AC and exact occurrence assignment.,1.0,no,OBSERVED,"manufacturer installation data, capacity, airflow, circuit, controls and connections","Type identity does not authorize performance, service or installation assumptions.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
type_definition,M401-TYPE-001,,IfcElectricApplianceType,,,,USERDEFINED,2dvNw761v4cgkv5QvrQtre,AC700,RPIZ-22FSLN5QD/P 700x447x192,2,,assigned_ac_equipment_type_definition,,,,IfcElectricApplianceType ElementType=AC and exact occurrence assignment.,1.0,no,OBSERVED,"manufacturer installation data, capacity, airflow, circuit, controls and connections","Type identity does not authorize performance, service or installation assumptions.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
type_definition,M401-TYPE-001,,IfcElectricApplianceType,,,,USERDEFINED,10_Arew0nAGOoYjFDTyzcn,AC700F,RPIZ-22FSLN5QDF/P 700x447x192,2,,assigned_ac_equipment_type_definition,,,,IfcElectricApplianceType ElementType=AC and exact occurrence assignment.,1.0,no,OBSERVED,"manufacturer installation data, capacity, airflow, circuit, controls and connections","Type identity does not authorize performance, service or installation assumptions.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
missing_input,M401-MISS-001,,,,,,,,,,,,typed_air_terminal_and_system_connectivity_missing,,,,"No IfcAirTerminal, IfcAirTerminalType, IfcDuctSegment, IfcFan, IfcDistributionPort, IfcSystem or IfcRelConnectsPorts is present for the two diffuser proxies.",1.0,yes,BLOCK,"air-terminal identity, supply/return/exhaust role, system membership, ports and connections","Do not infer terminal role, duct route, connection or airflow from proxy geometry.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
missing_input,M401-MISS-002,,,,,,,,,,,,kitchen_gas_alarm_missing,,,,No observable alarm or sensor instance/type matches the confirmed kitchen gas-alarm requirement.,1.0,yes,BLOCK,"device selection, mounting location, power/control and required interlock",Do not mark the gas alarm coordinated until equipment and authority requirements are confirmed.,7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
missing_input,M401-MISS-003,,,,,,,,,,,,bedroom_living_fire_sensor_missing,,,,No observable fire/smoke detector or sensor instance/type exists in the formal IFC.,1.0,yes,BLOCK,"device type, quantity, location, power/communication and ceiling clearance",Do not publish sensor positions or coverage without the fire/safety equipment basis.,7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
missing_input,M401-MISS-004,,,,,,,,,,,,bathroom_warm_air_unit_missing,,,,"No observable bathroom heater, warm-air unit or ventilation fan instance/type exists in the formal IFC.",1.0,yes,BLOCK,"equipment size, power, airflow path, grille, mounting and access conditions","Do not reserve an opening, circuit, grille or access zone from an assumed equipment size.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
missing_input,M401-MISS-005,,,,,,,,,,,,operational_and_access_data_missing,,,,"Existing AC appliances, flow-segment meshes and proxies contain observable geometry but no verified operational schedule or installation/access record.",1.0,yes,BLOCK,"airflow, pipe/duct diameter, circuit, controls, condensate/refrigerant identity, access and manufacturer installation clearances","Do not infer performance, circuit, diameter, access or connection relations from names, bounding boxes or proximity.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
