decision_id,scope,object_guid,current_value,proposed_value,basis,confidence,review_required,status,notes
SPACE-RESPLIT-004,space,3AlgzRX3jCvPS420cah9Qn,合并后的餐厅飘窗不是最小 Box,按 Grid 05-06-07/J-K 重划为 2 个 Box,用户检查后要求所有非 Box Space 重新按 Grid 在 XY 切分并沿 Z 拉伸；旧 LongName 暂时继承供重新标记,1.00,no,implemented,保留原 GlobalId 于 05-06/J-K；新增 06-07/J-K
SPACE-REMERGE-001,space,2Ipk_EVoLERRYRYxRXZV5U,2 个主卧飘窗 Grid Box,合并为 1 个最小矩形 Box,用户明确要求重新合并主卧飘窗且不要保留多余共线点；共同外包矩形与两格面积差仅为浮点误差,1.00,no,implemented,保留原 GlobalId；底面 4 个唯一角点
SPACE-REMERGE-002,space,004pVXwHv1W8qavLfulRuQ,2 个次卧飘窗 Grid Box,合并为 1 个最小矩形 Box,用户明确要求重新合并次卧飘窗且不要保留多余共线点,1.00,no,implemented,保留原 GlobalId；底面 4 个唯一角点
SPACE-REMERGE-003,space,3AlgzRX3jCvPS420cah9Qn,2 个餐厅飘窗 Grid Box,合并为 1 个最小矩形 Box,用户明确要求重新合并餐厅飘窗且不要保留多余共线点,1.00,no,implemented,保留原 GlobalId；底面 4 个唯一角点
SPACE-REMERGE-004,space,3_0Iqe4h98T8fmNcI7e34S,6 个走廊 Grid Box,合并为 1 个 L 形 Space,用户明确要求保留 L 形状；仅删除内部接缝并清理共线点,1.00,no,implemented,保留原 GlobalId；底面 8 个转角
SPACE-CORRIDOR-RESPLIT-002,space,3_0Iqe4h98T8fmNcI7e34S,单个 8 角 L 形走廊 Space,按 Grid 05-06-07-08-11-13/M-N-O 拆为 6 个 Box,用户批注明确要求走廊拆回 Gridline；全部边界吸附现有 Grid 且沿 Z 拉伸,1.00,no,implemented,保留原 GlobalId 于 05-06/N-O；新增其余 5 格；最终 27 个 Space 且非 Box 为 0
SPACE-SEM-MERGE-005,space,3_0Iqe4h98T8fmNcI7e34S,3 个已重新标记的走廊 Grid Box,合并为 1 个 4 角矩形走廊 Space,用户在 Blender 完成重新标记后明确要求合并；并集只消除内部点线面且最终四角均为原外轮廓顶点,1.00,no,implemented,保留原 GlobalId；移除 0JCZGmylfEXOamuGw8YXSQ 和 3ejrmr0yD0KfsQW1VNnx6g；外角位移 0
SPACE-SEM-MERGE-006,space,36NNomu9TDP9xkhh6D2l8K,4 个已重新标记的玄关 Grid Box,合并为 1 个 4 角矩形玄关 Space,用户在 Blender 完成重新标记后明确要求合并；并集只消除内部点线面且最终四角均为原外轮廓顶点,1.00,no,implemented,保留原玄关 GlobalId；移除 14SJNTmB5DrwBeACVXb4U5、00aY50y593XgaSZ95x7T1H 和 3krAd$h_j4ug3_QKuOVgsG；外角位移 0
COORD-001,coordinate,,IFC 中存在大量距离整数小于等于 0.01 mm 的长度尾数,只清理浮点噪声而不做整体平移或对不确定值取整,用户明确要求直接修改当前 IFC；166585 个 IfcLengthMeasure 数值已精确化且几何包围盒最大变化 0.013701 mm,1.00,no,implemented,IFC 已保存并 reload/rebuild；再扫描剩余浮点噪声为 0
COORD-ORIGIN-002,coordinate,,墙、Space、门窗的 129 个关键 origin 中仍存在 0.01-0.1 mm 分量,只把单轴距离整数不超过 0.1 mm 的原点分量归整,用户明确允许将 99.9 等 0.1 mm 尾差归整；按当前父子关系动态处理并保存重载,1.00,no,implemented,63 个对象的 72 个坐标分量已归整；3 个红点清除；IFC SHA-256 更新为 443ff085af96c39dad59e66ad987b2c2b5e93b7753063387b5408744ff55bedc
COORD-REVIEW-001,coordinate,,全模型 638 个对象 origin 超过 0.1 mm；墙、Space、门窗中有 90 个关键 origin 标红,按 Grid、墙轴线、Space 边界角点及洞口底边中点机械归整；非关键对象不盲目取整,亚毫米对齐不要求人眼判断；逐批全模型几何指纹排除连带变化,1.00,no,implemented,关键红点降至 3；54 Wall 和 22 Space 清零；全部 16 个有宿主洞口的门窗清零；全模型超阈值对象降至 540
COORD-WALL-001,wall-geometry,,40 面原始橙色墙在当批分为 39 面归整和 1 面共享曲线墙暂缓,后续 C003 已将暂缓墙的原点与局部坐标系归整；共享 Profile 未原位改写,包围盒投影和曲线离散点不是名义墙长；后续完成证据见 COORD-WALL-C003-CARDINAL,1.00,no,implemented,这是历史批次状态而非当前受控例外；当前墙 3hKNxGFpT1NPjsqhFgHhOQ 已完成归整
COORD-WALL-B001-01,wall-geometry,18Qhf59crDCAy$scVOCK92,799.835780x350x3000 mm 且方向偏差 0.053717°,800x350x3000 mm；原点 -4876/2600/0,用户在 Blender 写入前后两次确认；无门洞和 IFC 墙连接；全模型几何比较只发现 5 面批准墙变化,1.00,no,implemented,正交方向与轴线起点整数锚点已写入；包围盒最大调整 0.987604 mm
COORD-WALL-B001-02,wall-geometry,1aQiUP$CH5uhQBoEX8NjwK,799.949176x450x3000 mm,800x450x3000 mm；原点 -225/3200/0,用户在 Blender 写入前后两次确认；无门洞和 IFC 墙连接,1.00,no,implemented,正交方向与轴线起点整数锚点已写入
COORD-WALL-B001-03,wall-geometry,21vcsFmEvC2xpOEhH31C0E,1350.017456x200x3000 mm,1350x200x3000 mm；原点 3300/-5200/0,用户在 Blender 写入前后两次确认；无门洞和 IFC 墙连接,1.00,no,implemented,正交方向与轴线起点整数锚点已写入
COORD-WALL-B001-04,wall-geometry,2amSzxJIb9ceddTJOslmHk,1100.313455x200x3000 mm,1100x200x3000 mm；原点 -6600/-1100/0,用户在 Blender 写入前后两次确认；无门洞和 IFC 墙连接,1.00,no,implemented,正交方向与轴线起点整数锚点已写入
COORD-WALL-B001-05,wall-geometry,3OVQygdDn17huGOgJJFTOY,959.671862x100x700 mm,960x100x700 mm；原点 -6430/-70/0,用户在 Blender 写入前后两次确认；无门洞和 IFC 墙连接,1.00,no,implemented,正交方向与轴线起点整数锚点已写入
COORD-WALL-B002-01,wall-geometry,0a6glteMX7_x6fU36rB7Xa,2999.690x100x2600 mm,3000x100x2600 mm；原点 -1900/3200/0,用户在 Blender 确认 B2-1 且接受最大 0.510837 mm 位移；门洞 1PrWPEGF52deATqDqovfvh 与门 3xKBbA2CT9mfby2$MODnzM 只随父墙移动,1.00,no,implemented,门洞和门最大位移 0.216557 mm；门语义仍由 DOOR-ROOM-002 独立控制；写入后人眼确认通过
COORD-WALL-B002-02,wall-geometry,1AxFP7vkD30Q3ZdxDr_l4l,2299.913x200x1800 mm,2300x200x1800 mm；原点 6300/4000/650,用户在 Blender 确认 B2-2；窗洞 3sdFfQIUDDUAVPkLI63QwZ 与窗 137J_TtpvDY9ZtjaOlzqN6 只随父墙移动,1.00,no,implemented,墙最大位移 0.187952 mm；窗洞和窗最大位移 0.100921 mm；写入后人眼确认通过
COORD-WALL-B002-03,wall-geometry,21rLg3DBL3dupCGoi2RsUf,900.016x200x3000 mm 的斜切连接轮廓,900x200x3000 mm 并保留斜切接头；原点 3800/3200/0,用户确认 B2-2 三墙连接组；只吸附原有四个轮廓点到整数施工尺寸,1.00,no,implemented,最大位移 0.188690 mm；与目标墙接头残差 0.000 mm；写入后人眼确认通过
COORD-WALL-B002-04,wall-geometry,0jLabLY_9C18Pu7tVszuIs,800x200x3000 mm 的斜切连接轮廓且原点 X=3800.188 mm,保留 800x200x3000 mm 斜切轮廓；原点 3800/3200/0,用户确认 B2-2 三墙连接组；不改变轮廓拓扑,1.00,no,implemented,最大位移 0.187764 mm；与相邻墙接头残差 0.000 mm；写入后人眼确认通过
COORD-WALL-B002-05,wall-geometry,3wW32FPxv45Ac3yhuS2W5U,2600.039x200x3000 mm,2600x200x3000 mm；原点 6500/600/0,用户在 Blender 确认 B2-3；空调孔 1_EX1UWfL8ShcGm5BI1UPc 只随父墙移动,1.00,no,implemented,墙最大位移 0.107974 mm；空调孔最大位移 0.101519 mm；写入后人眼确认通过
COORD-WALL-C003-DEPTH,wall-geometry,12 walls listed in build/coordinate-normalization/c3-depth-postwrite-qa.json,12 个唯一 IfcExtrudedAreaSolid.Depth 距最近整数 0.012234–0.090194 mm,全部写为最近整数毫米；不修改复杂 Profile,每墙只有一个拉伸深度且候选唯一；关系集合和 Profile 类型保持,1.00,no,implemented,全模型仅 6 面目标墙的可见几何变化；最大 Hausdorff 0.090194 mm；其余受裁切墙参数变化但外形不变
COORD-PARAM-C003-DEPTH2,construction-geometry,C003-PARAM-DEPTH2,9 条踢脚线与 2 根梁仍有 0.044337–0.427607 mm 的拉伸深度尾差,10 个对象归到最近整数毫米；踢脚线 1z_JY$9a97dxJOZ3gy2OAB 采用 2898 mm 而非最近的 2897 mm，因为前者被既有裁切完全吸收而后者改变布尔拓扑,11 个参数全部为唯一 IfcExtrudedAreaSolid；候选逐对象比较通过,1.00,no,implemented,8 个对象外形完全不变；2 条踢脚线与 1 根梁可见变化，最大 Hausdorff 0.293576 mm；0 个非预期变化和拓扑变化；写入后当前 IFC 与候选 392/392 对象一致
COORD-JSON-C003-DW,semantic-float-noise,13 BBIM_Door/BBIM_Window type property sets,门窗参数 JSON 仍含 800.0000119 与 50.0000007 等小于 0.01 mm 的整数尾差,递归清理 162 个近整数长度值；比例及非近整数数值保持不变,16 个关联门窗全部来自 Bonsai 参数类型；最大改动仅 0.000138 mm,1.00,no,implemented,清理后残差 0；IFC4、2281 Root、实体数保持；19/19 Door/Window 世界几何完全不变
COORD-WALL-C004-RECT,wall-geometry,9 walls listed in build/coordinate-normalization/c4-rect-postwrite-qa.json,9 面四点直墙的世界角点轴线和原点存在小数,逐控制点吸附整数世界坐标并保持斜切拓扑；所属洞口门窗随父墙移动,用户已确认整体位置和几何关系；每轴吸附不超过 0.5 mm,1.00,no,implemented,18 个预期对象变化；最大 Hausdorff 0.513105 mm；10 处既有连接仍相交；无非预期变化
COORD-WALL-C005-CURVE,wall-geometry,"0vMU_9TZXEV8GPr46AYxhu; 122leYIbHFFBi0YE3uzZDV; 1AEziWa0DAR8TEFYF8unFF; 1YQyOdKDnFiOaH$X4tK5dp; 1kB9zQpv94vO1NObylFPcP; 2IZwo0dYv0p8B0RhP1oOtT; 2QL0HI22bBP9QJHhfY1YLK; 34MraFd1nFsep2QMO2kY48; 3JyOUPuivAwvLvV8DSz6CD; 3KxJ$jTjT69vr2qwa3swbL; 3TV2zkQdH3QRCAFhe47WOL; 3gksf1Sxz5TRfXh5l$12xr; 3kCjg_sZ1EF85Nip_y67gy; 3tvnsnioX7PQZ7u8kENvQd",共享曲线墙的 Profile 含圆弧离散点且不可逐点取整,只做墙与所属洞口的刚体锚点和正交框架吸附并归整独立 Axis；不改共享 Profile,用户已确认整体位置和几何关系；14 面候选的机械位移均不超过 0.5 mm,1.00,no,implemented,34 个预期对象变化；最大 Hausdorff 0.487059 mm；曲线与圆弧离散采样点是非施工控制几何，允许保留小数且不计入整数施工尺寸失败；共享 Profile 原位改写试验已完整撤销且残留几何变化为 0
COORD-WALL-C006-ORTHO,wall-geometry,322GWgwy5EpfjZYxs3LRoD,4000x200 mm 长斜切墙整体偏转约 2.47 mm,恢复 4000x200 mm 正交墙；原点 3800/4700/0；轴线 4000 mm；洞口随父墙移动,两端与 2NAJrrSQb2twKjQ2V6lQI6 和 2WAa5VUzT7ROWsWFxg38yH 的整数完成面机械闭合,1.00,no,implemented,仅宿主墙和洞口变化；最大 Hausdorff 2.629310 mm；墙包围面为 x=-200/4000 与 y=4700/4900 mm
COORD-WALL-C003-CARDINAL,wall-geometry,3hKNxGFpT1NPjsqhFgHhOQ,客卫飘窗墙原点 -1899.8214006424/3200.15978813171/0 mm 且局部坐标系偏离正交约 0.01171°,原点归整到 -1900/3200/0 mm 并将局部坐标系归整为精确正交；共享 Profile 不原位改写,用户在 Blender 以真实深度确认整体位置与几何关系；机械候选证明目标墙 19 组共面和 103 组接缝候选全部在 0.1 mm 内,1.00,no,implemented,目标墙最大 Hausdorff 0.452083 mm且拓扑保持 38 顶点/72 三角面；宿主 Opening 2XVxPKYhfB79rI5US7KTf3 反算 placement 后世界几何不变；其余 287 个墙/Opening/门窗对象完全不变
COORD-MATL-C003-GB01,material-layer,IfcMaterialLayer GB01 / WhiteWall,层厚 9.50000095367432 mm 含浮点尾差,精确写为 9.5 mm；保留半毫米板材规格,与已确认规格差值仅 0.00000095367432 mm且对象唯一,1.00,no,implemented,写入后 88 Wall/181 Opening/8 Door/11 Window 共 288 个对象相对已审核几何候选全部不变
COORD-WALL-C003-G1,wall-relationship,11 walls in prewrite C003-G1 report,垂直重叠过滤后确认 10 对真实近邻关系；用户确认没有设计缝,5 面墙沿 X 归整 ±1 mm；4 个近正交坐标系清除角度尾差；Opening 0yAFCiEoH61ghuTn$I2_yL 与 2mZFb1u1z0KvoiD8O1gWou 的实际切割面归到 Y=3400 mm,10 对关系写入后全部在 0.1 mm 内；共享 Profile 不改写；6 个 20 m 飘窗上下裁切体保持世界坐标,1.00,no,implemented,12 个允许对象发生 placement 或世界几何变化；最大 Hausdorff 1.038151 mm；0 个非预期变化和拓扑变化；写入后当前 IFC 与候选 288/288 对象一致
COORD-WALL-C003-G2,wall-relationship,C003-SFAAD94D4,原 G2 为 4 面墙/3 对关系；用户确认墙间没有设计留缝,两面直墙仅清除正交尾差；两面曲线墙分别复制共享 Profile 后只归整直线段控制点；曲线段和原共享 Profile 不变,3/3 对关系最大残差 0.000000000000455 mm；最大 Hausdorff 0.312805 mm,1.00,yes,implemented,0 个非预期变化和拓扑变化；其余 284 个墙/Opening/门窗不变；写入后当前 IFC 与候选 288/288 对象一致
COORD-WALL-C003-G3,wall-relationship,C003-SEDF5864F,原 G3 为两段对称飘窗墙与一面 400 mm 直墙的 2 对关系；没有设计留缝迹象；0.406 mm 残差来自两个未填充切割洞口的手工轮廓尾差,保持两个洞口名义高度 1200 mm；分别复制独立 Profile 并把连接面归到 0.05 mm 布尔安全余量；避免精确共面产生伪面,2/2 对关系最大残差 0.050042 mm；最大 Hausdorff 0.356343 mm,1.00,no,implemented,0 个非预期变化和拓扑变化；全模型 172/172 条共面记录与 612/612 条接缝记录均在 0.1 mm 内；写入后当前 IFC 与候选 288/288 对象一致
COORD-WALL-C003-GAP-CLOSE,wall-relationship,"26tBNOs75EH9eZKZJlkRH3; 2XslZd4419P8dGGPeAflZX; 3qz3zPw_r7nf0mYn_Jv805",窗下墙 0jhVMe5nn9b8xNJphVwucj 与左右回墙各有约 3 mm 间隙；右侧相邻 200 mm 小墙沿同一方向整体偏移 3 mm,三面关联墙分别向南平移 3 mm 并清除近正交尾差；不改 Profile、墙厚、墙高或窗洞,用户明确相邻墙默认无缝；三面均为 Concrete 200 且没有构造缝语义；候选证明移动组全部相关关系满足 0.1 mm,1.00,no,implemented,目标两处由约 3.000 mm 降至不超过 0.0005 mm；搜索窗 1 mm 时全模型 180/180 条共面记录与 623/623 条接缝记录满足 0.1 mm；未把缝隙转移到回墙远端
COORD-GRID-SPACE-001,coordinate,,20 条 GridAxis 和 22 个四角 Space 存在同源系统偏差,GridAxis 按 20 mm 模度归整；Space 四个边界面精确贴对应 Grid；原点重设到整数边界角点,22 个 Space 面到 Grid 的写前匹配误差不超过 0.010312 mm；候选唯一,1.00,no,implemented,最大 Grid 轴移动 2.591705 mm；最大 Space Hausdorff 2.597477 mm；全模型仅 22 个 Space 几何变化；760 shapes 和 74 个既有失败保持
COORD-WALL-ORIGIN-001,coordinate,,54 面墙原点超过 0.1 mm 且原点已位于墙轴线起点,墙连同全部放置后代做不超过 0.5 mm 的刚体平移；不改 Profile 和施工尺寸,54 个候选均有唯一整数轴线起点；34 个洞口和 11 个门窗随父墙移动,1.00,no,implemented,104 个变化几何全部为目标墙放置后代；最大 Hausdorff 0.481329 mm；9 组连接均未恶化；89/89 Wall 原点清零
COORD-HOSTED-FILL-001,coordinate,,9 个已挂洞口门窗原点超过 0.1 mm,保留已验证的门槛或窗台底边中点锚点；洞口门窗及嵌套子对象整体吸附整数毫米,原点到洞口底边中点最大偏差 0.065633 mm；每轴移动不超过 0.477994 mm,1.00,no,implemented,26 个变化几何全部属于 9 组洞口门窗及宿主；最大 Hausdorff 0.513607 mm；宿主墙外包围盒和名义宽高保持
COORD-DOOR-EXC-001,door,"1TW6$_GfnABRZusYvx0zZG; 2D5BPoo2XFSvhTdfPenCh7; 0zjVS5FBbBewgUkk0fdfiv",3 樘 IfcDoor 没有 IfcRelFillsElement 或宿主洞口,保留现状并在 A-104 核定真实类型宿主和几何锚点；不得仅按最近整数移动,其中两对象共享同一原点且三者几何特征不足以唯一推断宿主或锚点,1.00,yes,delegated,C003 不猜宿主或锚点；精确对象责任已由 COORD-HANDOFF-C003-A104 移交 A104
COORD-OPENING-C003-HOSTREL,opening-origin,"00LLIY4Jb5lhMAIAtpJuaR; 00Qu$u0B95puack5I1YASx; 04DzBdgQr99hTwEiZ4Zo0q; 04F4qmHTP7TOvbpiQ7gZBJ; 08Sns8O7n0j9zl5hNpovWh; 0A58600NfA7QWCD97tbUdf; 0AG_IcEHL2DvKsu8Hr3YHq; 0Cu5uUs2fEeRSGqo6K4ZUG; 0DOeKdT3DE9f2LMR_x$G7q; 0GVA0pu6f1gh1ddVc58IqT; 0JhkQgBGr6wOIiYC$qJeuY; 0NNE_kFXPF_uGkL0fm6pVo; 0OXOAIH_D4JP2FgtqkENtp; 0PSlGj$J90lgo54956DPdr; 0PuhUf7D17rPcwlfrmOVmC; 0Rnbxti9z4cxP1d3Ohv_wR; 0SCRXea81EcvS5088$VF9k; 0TisyTOCz1XewHCdK1GH5P; 0V9mP78Un3rgwBdDniEvPV; 0WLr7HIazBbAZlfvabd2MM; 0ZXn49sxb5x82rCoYqoXKq; 0_Z2u7PpD6YBNKxya8tJEG; 0aAY0Xehf00eJgKdHK_XAL; 0bAejblY1C1A5aIFDqwVPC; 0bYTAWw8r7Mwm$GORZLT$d; 0cgprvwo5Bx96L3wbRvyZ2; 0fvK7xBlvAfxnyHjt6_ARa; 0irz4yHXDB0eyUx1zSMaNd; 0lLJUrXuv0NvoVpmTH07ON; 0mchShss58$fvULZmouuUH; 0pCvAmg9X67vsKoDH8oTAm; 0pITNrup52k9_jELXkC_F8; 0tWBc0RYD82w0GCcEkD41j; 1$tj7CX0v1z9dyBmM7gn1l; 149kgUp792aexKba8n1P6d; 175VE3zbr56x0Lg6hwpCW7; 19cltnq$L9Fh6yPVOycyBv; 1DyTTdLHvF9xa3sF6EhjLF; 1EI5k9_lX1teyokrMD2ilo; 1EdPuD1rj5u85YRoryMzxy; 1HavoE6RLFpBGokAwHHrQ5; 1JcCwowxfDFfnW4MTmNeWZ; 1Mb_QXM0r6BOKqO0n_DFIB; 1Obrofoc53SP1$pCzCdw9e; 1QViGm50D1TP6oyZyAwSTP; 1Qca7wJGL0Q9BV8PW2gwGq; 1Ro3zU6lXBjuo7VDM3mTa7; 1XMusZjHr3ox9YBUbJg9rv; 1aSTT_B_P5y8IPvq6daR9b; 1dnB5Jx9b64ft$22nM2as1; 1hBmfbX8zAnwvwQvtJf0A6; 1i7BfvJ3H1oQRUjJEGFHti; 1j0KdnESP44fy1Ao9QezDH; 1n5LXz70n3sfFYxLxE$ZAQ; 1pv9WrnI1FgAVm7oJn4yaD; 1qyVxVvaz7IAuHyKrUgibc; 1xy0Nhw1j5dfbQqNkW4klq; 1yCfq0IHT57uClZRdyfIiK; 22JsDd6sHC$PPQKBNQOW0y; 24DMX1GJD5pQVAJWYX6f0K; 24z$Ygy6rFQB2HqB$TkFVi; 29N1WkcE1DMgvzDDD4hCtn; 2BjC15Nm9E_fti4WTsM_nL; 2Ev9EiOIv8yAMpaCY6dttJ; 2F667JcWnAm9Hchuxrf8vg; 2GHoRh1GDCAQc1HXxUCAiN; 2GNiAW379FSQ0K7OOWfP8z; 2HaFVEHbfF38MEGgjhvAcz; 2KV8sWa1DC9RDyHYIRPBOP; 2KrNi9gT90MupPWHCfJwcn; 2LZbpbz65EgPfVq9dmz8IK; 2N17jOQkj3hfgucm22JBG2; 2NKrigWuPDpupK6upmd9Dz; 2QNZiWa_v39PodQ$U9R_tB; 2TnJnAuDb3cOoTeFLK4HdD; 2Wx0Q5h_1FIfh6bLQbaYSc; 2bbQdsVLT1RP1Q8TX8OnW0; 2c4BRW89r7wBaQxBNgmHia; 2dy$hjGBT6yBvEtSizKGWZ; 2ei8tX_IX9HusJws7ITMAZ; 2h35u2TZv3ZxNC_VjKZESv; 2hMiaPdl92vfqEdrBZwrHr; 2iD0$qLLb7cu7T$dATAC4E; 2jKs9fdiz0lhZOwePRZ6$X; 2mYpqRKMD3Qf$1jW5xly19; 2mZFb1u1z0KvoiD8O1gWou; 2nWw6QP5f95OhA1zNcpxFM; 2oHWzdjkr8X8Yt0Gd2e3RQ; 2pNehS5uj5IhnlCwSOPYW6; 2qk0nafof6XRl4CYcn5yQ2; 2uJV__B6b7BvHiMqGzFbuw; 2uL9qCTHH5oez3cfe5FOZ0; 2vht0DHZf2YvqqRfXn_8oG; 2woe3Tdbb89vBduOTMfN96; 2zYATGgkr2COBJU1XNL7$z; 3$SiLlObL89vfb3X4Vct$_; 33IuE0PNf6wwF_s16J4MvV; 340U5V1A9AcwGf4yyKKepT; 39SJhVMyLAGuFEqYBIZjWg; 39w3q4TNf4Ivsr734pl$PU; 3AzpGQNhr4FhCAFXPEkaJn; 3EVE8lqaz1jeLbHne5O4Sa; 3EcYvBiZvEvgYkRwjB4Ax0; 3Hu_Yj575AZ9mo4zIVCeEV; 3Kgy2FcxjETgAHoqfSiwS_; 3ThJEe6094leIh1Ek2Pip5; 3XQ9jj4jfDG9Rg2EDD46a6; 3_5A1_W4TCeeM2eYIsVT27; 3fHbocz5L4UBCdtrHNO0TU; 3nZov_XmbDM9JqOLTPkNA_; 3oq6xKTV97$eIvEH3Pa6EF; 3qBJcTlbjDOAe_s0cVkL7N; 3qtF1s43PBgeiIIRR7DBba; 3wyfNcxKH9iRdII_GYQzbZ",原点超过 0.1 mm但每个对象恰有一个宿主、无 Filling且 ObjectPlacement 直接相对宿主,从独立原点队列移除并随宿主 placement 与 Boolean 几何共同验收；不得单独吸附整数,父子 placement 关系已经机械证明；独立移动会重复处理并可能改变切割结果,1.00,no,implemented,未修改 IFC；114 个 GlobalId 精确集合必须与当前哈希 build/coordinate-normalization/opening-anchor-audit.json 一致；这是随宿主验收的委托项而非受控例外
COORD-OPENING-C003-INDEPENDENT,opening-origin,"0_eLd9WVfFLvk6I8goe8it; 0vxak9xlD8Z97XrPYRGunC; 2LCZDONiLBShgK9CpOImZJ",3 个 IfcOpeningElement 原点超过 0.1 mm且不是各自宿主的直接子级；机械追踪后确认属于两个共享 placement/representation 组,共享组 A 的 3 个 Opening 纯原点重设到 -1815/728/0 mm；共享组 B 的 2 个 Opening 重设到 6000/-575/0 mm；世界切割几何不动,两组实际分别有 3 和 2 个 Opening 共用同一 ObjectPlacement 与 Tessellation；目标均为现有 1200×900×2000 mm 裁切盒底面内的整数点,1.00,no,implemented,已随 C003 72 对象纯原点批次正式写入；5/5 Opening 锚点距离 0；10/10 Opening/宿主世界几何保持；写后全模型墙体共面 183/183、接头 165/165 通过 0.1 mm；72 对象批次写入哈希 142bd6a96f1d62d60bd63b42bd25b1035ef80ffa36403b4a54b6077cbdba2291；随后清理 5 个正交 Direction 尾差且世界几何不变；Direction 尾差清理批次 SHA-256 1c69ff2aa70991e58855a194607d109d3e358168352fe27a7dbdd0b19e513710；Blender 已 reload/rebuild；不是受控例外
