evidence_id,discipline,sheet_id,decision_scope,source_kind,source_document,source_sha256,source_locator,evidence,proves,does_not_prove,status,confidence,review_required,formal_ifc_write_allowed,notes
OWNER-EVIDENCE-TAOBAO-1062885293798-MAIN-01,ELEC/INT1,E-302,JINK 2.5D Neo 淘宝商品主图,owner_supplied_product_image,drawings/evidence/owner-input-20260814/taobao-1062885293798-main-01.webp,8d2d675c66a05a1250944b8edebbec728f397dcc01b4e72698dc0cd312466bbb,业主 inbox evidence 原图按字节复制,taobao-1062885293798-main-01.webp 本地视觉证据,只证明商品页展示 1–4 键、16A/20A/40A 等营销选项及 Matter 文案,不证明准确 SKU、协议一致性、端子图、零线要求、证书映射或项目选定,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-TAOBAO-1062885293798-MAIN-02,ELEC/INT1,E-302,JINK 2.5D Neo 淘宝商品主图,owner_supplied_product_image,drawings/evidence/owner-input-20260814/taobao-1062885293798-main-02.webp,3e41723331b69f92691132da322dd09a841858fb291087df04dc6a29ac15d52c,业主 inbox evidence 原图按字节复制,taobao-1062885293798-main-02.webp 本地视觉证据,只证明商品页展示 1–4 键、16A/20A/40A 等营销选项及 Matter 文案,不证明准确 SKU、协议一致性、端子图、零线要求、证书映射或项目选定,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-TAOBAO-1062885293798-MAIN-03,ELEC/INT1,E-302,JINK 2.5D Neo 淘宝商品主图,owner_supplied_product_image,drawings/evidence/owner-input-20260814/taobao-1062885293798-main-03.webp,578745e995bc1075833c41e3276f920384cc9e8f05e091d46983ebf7967a73ff,业主 inbox evidence 原图按字节复制,taobao-1062885293798-main-03.webp 本地视觉证据,只证明商品页展示 1–4 键、16A/20A/40A 等营销选项及 Matter 文案,不证明准确 SKU、协议一致性、端子图、零线要求、证书映射或项目选定,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-TAOBAO-1062885293798-MAIN-04,ELEC/INT1,E-302,JINK 2.5D Neo 淘宝商品主图,owner_supplied_product_image,drawings/evidence/owner-input-20260814/taobao-1062885293798-main-04.webp,33bd491b41330e2b2b1bc027826070295f22989d4fcbd50d9dda75095b83b326,业主 inbox evidence 原图按字节复制,taobao-1062885293798-main-04.webp 本地视觉证据,只证明商品页展示 1–4 键、16A/20A/40A 等营销选项及 Matter 文案,不证明准确 SKU、协议一致性、端子图、零线要求、证书映射或项目选定,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-TAOBAO-1062885293798-MAIN-05,ELEC/INT1,E-302,JINK 2.5D Neo 淘宝商品主图,owner_supplied_product_image,drawings/evidence/owner-input-20260814/taobao-1062885293798-main-05.webp,7a2113fe92d805b3a262b4824fad78316434857e1be9ae90cf923ccf6d1a8068,业主 inbox evidence 原图按字节复制,taobao-1062885293798-main-05.webp 本地视觉证据,只证明商品页展示 1–4 键、16A/20A/40A 等营销选项及 Matter 文案,不证明准确 SKU、协议一致性、端子图、零线要求、证书映射或项目选定,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-TAOBAO-964347781373-MAIN-01,ELEC/INT1,E-302,JINK EGG 淘宝商品主图,owner_supplied_product_image,drawings/evidence/owner-input-20260814/taobao-964347781373-main-01.webp,017656b878feedd1b7b860a3c6bbf28a112e8dc1503aee0b68278a7b2fab3821,业主 inbox evidence 原图按字节复制,taobao-964347781373-main-01.webp 本地视觉证据,只证明商品页展示 EGG、Matter/Apple Home/场景控制等营销内容,不证明准确 SKU、每路负载、端子图、底盒净深、传统有线双控或项目选定,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-TAOBAO-964347781373-MAIN-02,ELEC/INT1,E-302,JINK EGG 淘宝商品主图,owner_supplied_product_image,drawings/evidence/owner-input-20260814/taobao-964347781373-main-02.webp,583f0b74c9ff8a34ff0061d95ee074c24d0e45a35b73db74948eeae1f9f76ea4,业主 inbox evidence 原图按字节复制,taobao-964347781373-main-02.webp 本地视觉证据,只证明商品页展示 EGG、Matter/Apple Home/场景控制等营销内容,不证明准确 SKU、每路负载、端子图、底盒净深、传统有线双控或项目选定,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-TAOBAO-964347781373-MAIN-03,ELEC/INT1,E-302,JINK EGG 淘宝商品主图,owner_supplied_product_image,drawings/evidence/owner-input-20260814/taobao-964347781373-main-03.webp,8b8310a0ae3c2092e67a44712f05c90e7e683e11e0643fec610fe798ea8503a3,业主 inbox evidence 原图按字节复制,taobao-964347781373-main-03.webp 本地视觉证据,只证明商品页展示 EGG、Matter/Apple Home/场景控制等营销内容,不证明准确 SKU、每路负载、端子图、底盒净深、传统有线双控或项目选定,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-TAOBAO-964347781373-MAIN-04,ELEC/INT1,E-302,JINK EGG 淘宝商品主图,owner_supplied_product_image,drawings/evidence/owner-input-20260814/taobao-964347781373-main-04.webp,345401869a29ec7a43cef624acbf4b3555c039f96642acaa50245f96094e2ce4,业主 inbox evidence 原图按字节复制,taobao-964347781373-main-04.webp 本地视觉证据,只证明商品页展示 EGG、Matter/Apple Home/场景控制等营销内容,不证明准确 SKU、每路负载、端子图、底盒净深、传统有线双控或项目选定,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-TAOBAO-992656775956-MAIN-01,ELEC/INT1,A-106,Panasurface 报警器平嵌装饰件商品主图,owner_supplied_product_image,drawings/evidence/owner-input-20260814/taobao-992656775956-main-01.webp,973beebb30b71a32ec330aa376dfbba982aa3297c7a3230121ed7a9c584c79b4,业主 inbox evidence 原图按字节复制,taobao-992656775956-main-01.webp 本地视觉证据,只证明装饰件存在多种设备名称和齐平外观展示且不含报警器,不证明兼容尺寸、报警器型号、消防/燃气准入、安装位置或施工批准,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-TAOBAO-992656775956-MAIN-02,ELEC/INT1,A-106,Panasurface 报警器平嵌装饰件商品主图,owner_supplied_product_image,drawings/evidence/owner-input-20260814/taobao-992656775956-main-02.webp,d132b2da7bb721cd5bf1246b689676dee74e63a8e8e5814dad520f9c989f71fc,业主 inbox evidence 原图按字节复制,taobao-992656775956-main-02.webp 本地视觉证据,只证明装饰件存在多种设备名称和齐平外观展示且不含报警器,不证明兼容尺寸、报警器型号、消防/燃气准入、安装位置或施工批准,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-TAOBAO-992656775956-MAIN-03,ELEC/INT1,A-106,Panasurface 报警器平嵌装饰件商品主图,owner_supplied_product_image,drawings/evidence/owner-input-20260814/taobao-992656775956-main-03.webp,9b763595b8278ec50dd4e2445ce8b4130bd5c3ddeef23ce52ce7499eace52927,业主 inbox evidence 原图按字节复制,taobao-992656775956-main-03.webp 本地视觉证据,只证明装饰件存在多种设备名称和齐平外观展示且不含报警器,不证明兼容尺寸、报警器型号、消防/燃气准入、安装位置或施工批准,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-TAOBAO-992656775956-MAIN-04,ELEC/INT1,A-106,Panasurface 报警器平嵌装饰件商品主图,owner_supplied_product_image,drawings/evidence/owner-input-20260814/taobao-992656775956-main-04.webp,f361525f74add9c5f78f1e27e6abd339e2bfab1f9d5da13e16edc25ee65acd18,业主 inbox evidence 原图按字节复制,taobao-992656775956-main-04.webp 本地视觉证据,只证明装饰件存在多种设备名称和齐平外观展示且不含报警器,不证明兼容尺寸、报警器型号、消防/燃气准入、安装位置或施工批准,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-TAOBAO-992656775956-MAIN-05,ELEC/INT1,A-106,Panasurface 报警器平嵌装饰件商品主图,owner_supplied_product_image,drawings/evidence/owner-input-20260814/taobao-992656775956-main-05.webp,bf7393b243be7eef73d78fb9e1bbd31f88fd106eb29e45162dedbb90865faf76,业主 inbox evidence 原图按字节复制,taobao-992656775956-main-05.webp 本地视觉证据,只证明装饰件存在多种设备名称和齐平外观展示且不含报警器,不证明兼容尺寸、报警器型号、消防/燃气准入、安装位置或施工批准,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-TAOBAO-992656775956-MAIN-06,ELEC/INT1,A-106,Panasurface 报警器平嵌装饰件商品主图,owner_supplied_product_image,drawings/evidence/owner-input-20260814/taobao-992656775956-main-06.webp,892ca91d9928e9e821c26d42a43df43a0273b1d5c785bfecfc9effbf4aa9a015,业主 inbox evidence 原图按字节复制,taobao-992656775956-main-06.webp 本地视觉证据,只证明装饰件存在多种设备名称和齐平外观展示且不含报警器,不证明兼容尺寸、报警器型号、消防/燃气准入、安装位置或施工批准,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
TB-JINK-EGG-001,ELEC,E-302,JINK EGG 淘宝商品页,taobao_product_page,https://detail.tmall.com/item.htm?id=964347781373,not_applicable_live_reference,,商品页标题、属性型号 EGG 与零火三键/六键、锂电无线六键在售选项,商品候选与在售 SKU 文案,业主已选准确 SKU、官方端子图、每路负载、底盒净深或证书对应,commerce_page_research_candidate_only,0.90,yes,no,
JINK-EGG-OFFICIAL-001,ELEC,E-302,JINK EGG 官方产品族,official_product_web,https://www.jinkhome.com/products/jink-switch-egg,not_applicable_live_reference,,官方产品族列出 3-Key/3-Relay、6-Key/3-Relay、Wireless Scene 6-Key、Matter over Thread、100–275V AC 与 85.8×86×37.55 mm 86 系列外形,EGG 产品族功能、协议、供电和外形研究结论,淘宝准确 SKU、每路/整机 2000W 口径、端子图、最低底盒净深、传统有线双控或项目选定,verified_official_family_research,0.95,yes,no,
