expected_class,global_id,target_x_mm,target_y_mm,target_z_mm,anchor_kind,basis,confidence
IfcElectricAppliance,33chLv3TzEOhKalIJJAPNF,-3611.0,-893.0,2617.0,integer_point_on_physical_axis_edge,ElectricAppliance；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcLightFixture,07417_eTrC0eWfT$Y8pgoE,488,2790,2697,existing_integer_vertex,LightFixture；现有 Body 顶点在 0.01 mm 内接近整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.95
IfcLightFixture,0tX8IXkjf2ZfVFfFwdUuLk,2881,1417,2667,existing_integer_vertex,LightFixture；现有 Body 顶点在 0.01 mm 内接近整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.95
IfcLightFixture,0xvuGq51D58Q48g8TUKoG3,2881,15,2667,existing_integer_vertex,LightFixture；现有 Body 顶点在 0.01 mm 内接近整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.95
IfcLightFixture,20bYXtwTj8IgxONb9fe4qh,2110,-2972,2697,existing_integer_vertex,LightFixture；现有 Body 顶点在 0.01 mm 内接近整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.95
IfcLightFixture,2S3yKtNmb9ShDjnra4juRS,-626,406,2395,existing_integer_vertex,LightFixture；现有 Body 顶点在 0.01 mm 内接近整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.95
IfcLightFixture,2uoah3MET7a9XfDe75Wi43,2110,-2182,2697,existing_integer_vertex,LightFixture；现有 Body 顶点在 0.01 mm 内接近整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.95
IfcLightFixture,34px3Z5uHBG8_FjnOKgVdK,1512,2790,2697,existing_integer_vertex,LightFixture；现有 Body 顶点在 0.01 mm 内接近整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.95
IfcLightFixture,3fre4rzaj4yQgf0wGvOqy7,4488,2790,2697,existing_integer_vertex,LightFixture；现有 Body 顶点在 0.01 mm 内接近整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.95
IfcPipeSegment,0V9CnYT0n3GvkLmXhxvv$u,-5953.0,1793.0,-53.0,integer_point_on_physical_axis_edge,PipeSegment；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcPipeSegment,0YgqsahOH4FvZ_nLwl_Tlf,-708.0,2133.0,-64.0,integer_point_on_physical_axis_edge,PipeSegment；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcPipeSegment,10Wm8ivdX7dAVfz4cV8l5Q,-424.0,-1050.0,2623.0,integer_point_on_physical_axis_edge,Drain Pipe；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcPipeSegment,2wViHGrwX2hOYCb3MDNb$9,-6148.0,1362.0,-103.0,integer_point_on_physical_axis_edge,PipeSegment；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcSanitaryTerminal,14EazrLgP8whYZWY_yCuKy,-5815.0,950.0,-60.0,integer_point_on_physical_axis_edge,SanitaryTerminal；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcSanitaryTerminal,1FgLPMw$5B4wBH2ySMkXE1,-6492.0,-1048.0,814.0,integer_point_on_physical_axis_edge,SanitaryTerminal；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcSanitaryTerminal,1rhZG98PPCSxaLeMFLTYb9,-565.0,2768.0,337.0,integer_point_on_physical_axis_edge,SanitaryTerminal；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcSanitaryTerminal,2Ak2ma0lvBEA49UpplzUqi,-6418.0,-550.0,596.0,integer_point_on_physical_axis_edge,SanitaryTerminal；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcSanitaryTerminal,2S2c498tb7$gzdukjhCGVQ,-5845.0,500.0,20.0,integer_point_on_physical_axis_edge,SanitaryTerminal；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcSanitaryTerminal,2YnGmmoYbF28Vy25$aNKT8,-6207.0,-1048.0,409.0,integer_point_on_physical_axis_edge,SanitaryTerminal；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcSanitaryTerminal,2ajpw0I9n1dBypfISg3ejX,-6494.0,-198.0,714.0,integer_point_on_physical_axis_edge,SanitaryTerminal；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcSanitaryTerminal,2iKOL78$H0N9Yd9$ky3pW4,-6470,840,692,existing_integer_vertex,SanitaryTerminal；现有 Body 顶点在 0.01 mm 内接近整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.95
IfcSanitaryTerminal,3PRBtW00j1D8r2Or5PTFdh,-6494.0,-998.0,714.0,integer_point_on_physical_axis_edge,SanitaryTerminal；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcSanitaryTerminal,3hgNkx97vCTOC2eewCpMNk,-513.0,2660.0,933.0,integer_point_on_physical_axis_edge,SanitaryTerminal；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcSanitaryTerminal,3jT4sCgpHC98VSIUdGUNYH,-1773.0,1809.0,2210.0,integer_point_on_physical_axis_edge,SanitaryTerminal；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcSanitaryTerminal,3pvAlH5C14v8uVEJ1LmK8M,-6196.0,2292.0,617.0,integer_point_on_physical_axis_edge,SanitaryTerminal；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
