equipment_id,domain,category,item_name,manufacturer,model,variant,quantity,procurement_status,decision_status,storage_location_candidate,use_location_candidate,storage_location_confirmed,use_location_confirmed,schedule_included,selector_kind,selector_value,ifc_class,ifc_type_name,ifc_type_global_id,ifc_global_ids,source_ids,identity_basis,confidence,human_review_required,legacy_kind,legacy_id,notes
APP-011,APPLIANCE,固定厨房电器,烤箱,Siemens,Siemens HB754G2B1W,,1,purchased_arrived,confirmed,西厨高柜,西厨高柜,西厨高柜,西厨高柜,yes,logical_input,APP-011,IfcElectricAppliance,,,3PQOXKxgj6IftqWXFXMQXG,APP-011-PHOTO-001;APP-011-OFFICIAL-001;ELEC-RESEARCH-20260815-001,APP-011-PHOTO-001;APP-011-OFFICIAL-001,1.00,no,appliance,APP-011,已到货；官方 3400W/16A 插头。16A 三孔插座、独立 C16 RCBO、4mm² 铜线，插座设相邻可检修柜格而非机身正后。
APP-012,APPLIANCE,固定厨房电器,炉灶,Siemens,Siemens ER9EPA33MP/01（JZT-ER9EPA33MP）,,1,purchased_arrived,confirmed,中厨,中厨,中厨,中厨,yes,logical_input,APP-012,,,,,APP-012-PHOTO-001;APP-012-PHOTO-002;APP-012-OFFICIAL-001;ELEC-RESEARCH-20260815-001,APP-012-PHOTO-001;APP-012-PHOTO-002;APP-012-OFFICIAL-001,1.00,no,appliance,APP-012,已到货；DC1.5V 电池点火，设备不需电源插座；原灶位插座仅作 10A 检修备用点，接厨房固定辅助回路。
APP-013,APPLIANCE,固定厨房电器,油烟机,Siemens,Siemens LS33R6VB9W/01（CXW-380-LS33R6VB9W）,,1,purchased_arrived,confirmed,中厨,中厨,中厨,中厨,yes,logical_input,APP-013,IfcElectricAppliance,,,288GLY62v8kPPydA1lAK8W,APP-013-PHOTO-001;APP-013-PHOTO-002;APP-013-OFFICIAL-001;ELEC-RESEARCH-20260815-001,APP-013-PHOTO-001;APP-013-PHOTO-002;APP-013-OFFICIAL-001,1.00,no,appliance,APP-013,已到货；官方 385W，设计电流约 1.75A；10A 接地插座接厨房固定辅助回路，不独立成回路。
APP-014,APPLIANCE,水处理设备,西门子嵌入式净水饮水机（直饮+净水）,Siemens,WS7FSB0C1C,,1,candidate,partial,西厨,西厨使用点,,西厨使用点,yes,logical_input,APP-014,,,,,OWNER-INBOX-20260814-001;APP-014-SIEMENS-NEW-WEB-001;APP-014-SIEMENS-OLD-WEB-001;APP-014-SIEMENS-MANUAL-001;ELEC-RESEARCH-20260815-001,业主明确新款 WS7FSB0C1C 为优选、旧款 WS7060BC1C 仅作比价备选；两者官方资料核验,1.00,yes,appliance,APP-014,新款为优选候选但未采购；2200W，10A 三孔邻柜插座，独立 C16 RCBO、2.5mm² 铜线和剩余电流保护；APP-015 仅为别名。
APP-015,APPLIANCE,水处理设备,净水功能别名（同 APP-014）,Siemens,WS7FSB0C1C,,0,not_applicable,superseded,西厨柜内,西厨柜内接口区,,西厨柜内接口区,no,logical_input,APP-015,,,,,OWNER-INBOX-20260814-001;APP-014-SIEMENS-NEW-WEB-001;APP-014-SIEMENS-OLD-WEB-001;APP-014-SIEMENS-MANUAL-001;ELEC-RESEARCH-20260815-001,业主明确新款 WS7FSB0C1C 为优选、旧款 WS7060BC1C 仅作比价备选；两者官方资料核验,1.00,no,appliance,APP-015,APP-014 的功能别名，quantity=0、不入设备表、不重复计算功率、插座、回路或给排水。
APP-016,APPLIANCE,固定厨房电器,垃圾处理器,勒科斯,F50（业主提供候选）,,1,candidate,partial,西厨水槽柜,西厨水槽柜,,西厨水槽柜,yes,logical_input,APP-016,,,,,OWNER-INBOX-20260814-001,业主补充候选名称“勒科斯 F50”；尚无厂家安装图、订单或铭牌,0.80,yes,appliance,APP-016,候选身份不等于已选/已购；额定功率、开关方式、法兰尺寸和排水接口保持 unknown。
APP-017,APPLIANCE,洗衣设备,西门子洗衣机＋热泵干衣机叠放套装,Siemens,WG54M7D20W + WQ55M7U20W,iQ500 10 kg washer + iQ500 10 kg heat-pump dryer,1,candidate,partial,中厨家政位,中厨家政位,,中厨家政位,yes,global_id,3JAkt8PsX7vPfGKWLK5EKp,IfcBuildingElementProxy,,,3JAkt8PsX7vPfGKWLK5EKp,IFC-FORMAL-001;OWNER-INBOX-20260814-001;APP-017-SIEMENS-WASHER-WEB-001;APP-017-SIEMENS-WASHER-MANUAL-001;APP-017-SIEMENS-DRYER-WEB-001;APP-017-SIEMENS-DRYER-MANUAL-001;APP-017-SIEMENS-WTZ27510-WEB-001;APP-017-SIEMENS-STACKKIT-MANUAL-001;ELEC-RESEARCH-20260815-001,业主明确改选两台独立西门子设备上下叠放；官方精确型号资料核实尺寸、负载、水电和叠放规则,1.00,yes,appliance,APP-017,候选精确双机叠放；1900W+800W=2700W，约 12.3A@220V；一路洗衣区独立 C16 RCBO、2.5mm² 铜线和两个侧面可检修 10A 接地插座，不使用排插/延长线。
APP-018,NETWORK,网络设备,Huawei 联通智家设备,Huawei,,,1,candidate,partial,玄关弱电箱,玄关弱电箱,,玄关弱电箱,yes,logical_input,APP-018,,,,,,,0.80,yes,appliance,APP-018,实际箱内运行已确认；补底部铭牌与设备功能
FUR-SHE01,FURNITURE,bookcase,Rafiki,Baxter,Rafiki,,1,selected,confirmed,,,,,yes,type_name,SHE01,IfcFurniture,SHE01,3erXbcQWHCt8x59$W3bG_Q,,FUR-SRC-SHE01,用户确认产品链接；Baxter 官方页面将 Rafiki 标识为 bookcase,1.00,no,furniture_product,SHE01,
FUR-Libelle,FURNITURE,modular_bookcase,Libelle,Baxter,Libelle,,1,selected,confirmed,,存放酒和调酒器具,,存放酒和调酒器具,yes,type_name,Libelle,IfcFurniture,Libelle,1FudEC16D6iAkSWQC_7G2k,,FUR-SRC-Libelle,用户确认产品链接和使用意图；Baxter 官方页面将 Libelle 标识为可配置瓶架和储物单元的模块化书架,1.00,no,furniture_product,Libelle,
FUR-WD01,FURNITURE,modular_wardrobe_and_pivot_door_system,Senzafine + Pivot,Poliform,Senzafine + Pivot,freestanding_wardrobe_and_wall_mounted_pivot,1,selected,confirmed,,衣物收纳及衣柜与墙体之间的旋转门系统,,衣物收纳及衣柜与墙体之间的旋转门系统,yes,type_name,WD01,IfcFurniture,WD01,0vf8HbSFv9FfzysXNlGjdx,,FUR-SRC-WD01,用户确认“Pivot between wardrobe and wall: freestanding wardrobe and wall mounted Pivot”；IFC 类型 Description=Poliform Pivot Senzafine；官方 Pivot 页面证明其为可与 Poliform 衣柜系统集成的旋转门/开口系统,1.00,no,furniture_product,WD01,
FUR-WD01L,FURNITURE,modular_wardrobe_and_pivot_door_system,Senzafine + Pivot,Poliform,Senzafine + Pivot,freestanding_wardrobe_and_wall_mounted_pivot,1,selected,confirmed,,衣物收纳及衣柜与墙体之间的旋转门系统,,衣物收纳及衣柜与墙体之间的旋转门系统,yes,type_name,WD01L,IfcFurniture,WD01L,1o1OcgN2D1hfuNiGy99OEi,,FUR-SRC-WD01L,用户确认“Pivot between wardrobe and wall: freestanding wardrobe and wall mounted Pivot”；IFC 类型 Description=Poliform Pivot Senzafine；官方 Pivot 页面证明其为可与 Poliform 衣柜系统集成的旋转门/开口系统,1.00,no,furniture_product,WD01L,
FUR-WD02,FURNITURE,modular_wardrobe_system,Senzafine,Poliform,Senzafine,,1,selected,confirmed,,衣物收纳,,衣物收纳,yes,type_name,WD02,IfcFurniture,WD02,3Xia__Mm57iv5rlzD9v6Yn,,FUR-SRC-WD02,用户确认产品链接；Poliform 官方页面将 Senzafine 标识为模块化衣柜系统,1.00,no,furniture_product,WD02,
FUR-WD03,FURNITURE,modular_wardrobe_system,Senzafine,Poliform,Senzafine,,1,selected,confirmed,,衣物收纳,,衣物收纳,yes,type_name,WD03,IfcFurniture,WD03,0l3LxR2Lj1egsE94rFSMeK,,FUR-SRC-WD03,用户确认产品链接；Poliform 官方页面将 Senzafine 标识为模块化衣柜系统,1.00,no,furniture_product,WD03,
FUR-BST01,FURNITURE,bedside_table,Ninfea,Baxter,Ninfea,bedside_table_opening_side_not_recorded,1,selected,confirmed,,床头收纳,,床头收纳,yes,type_name,BST01,IfcFurniture,BST01,0ZWJNi2GP9KvvQhOX1hwKP,,FUR-SRC-BST01,用户确认产品链接；IFC 类型名 BST01 与官方页面的 Ninfea bedside table 品类一致；左右开口未在 IFC 类型名中记录,1.00,no,furniture_product,BST01,
FUR-BST02,FURNITURE,bedside_table,Beside,Baxter,Beside,bedside_table,1,selected,confirmed,,床头收纳,,床头收纳,yes,type_name,BST02,IfcFurniture,BST02,1OOnzl9Iv0OOHaA0EOe321,,FUR-SRC-BST02,用户确认产品链接；Baxter 官方页面将 Beside 标识为 bedside table,1.00,no,furniture_product,BST02,
FUR-BST03,FURNITURE,bedside_table,Stone,Baxter,Stone,freestanding_bedside_table_with_L_drawer,1,selected,confirmed,,床头收纳,,床头收纳,yes,type_name,BST03,IfcFurniture,BST03,1H0dYxOl555gbdbAoy$fYk,,FUR-SRC-BST03,用户确认为 Stone 系列 FREESTANDING BEDSIDE TABLE WITH L DRAWER；Baxter 官方页面列出该款床头柜,1.00,no,furniture_product,BST03,
DW-M01,DOOR_WINDOW,IfcDoor,M01 · Door,,,,1,not_selected,ifc_observed,,客厅; 阳台,,,yes,global_id,0KYkZzyYj4leM7EZCh3ZYW,IfcDoor,,,0KYkZzyYj4leM7EZCh3ZYW,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,M01,
DW-M02,DOOR_WINDOW,IfcDoor,M02 · Door,,,,1,not_selected,ifc_observed,,客厅; 阳台,,,yes,global_id,0KtzVrwAn5aBZMFpM3Ygkt,IfcDoor,,,0KtzVrwAn5aBZMFpM3Ygkt,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,M02,
DW-M03,DOOR_WINDOW,IfcDoor,M03 · Door,,,,1,not_selected,ifc_observed,,客卫; 客卫干区,,,yes,global_id,1To6gRjrf2nBU5GQuuD8FV,IfcDoor,,,1To6gRjrf2nBU5GQuuD8FV,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,M03,
DW-M04,DOOR_WINDOW,IfcDoor,M04 · 次卧门,,,,1,not_selected,ifc_observed,,客卫干区; 次卧,,,yes,global_id,3xKBbA2CT9mfby2$MODnzM,IfcDoor,,,3xKBbA2CT9mfby2$MODnzM,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,M04,
DW-M05,DOOR_WINDOW,IfcDoor,M05 · Rimadesio Sail 格栅门板,Rimadesio,Sail,MONOROTAIA family reference,1,not_selected,partial,,主卧入口; 次卧,,,yes,global_id,2D5BPoo2XFSvhTdfPenCh7,IfcDoor,,,2D5BPoo2XFSvhTdfPenCh7,IFC-FORMAL-001;RIMADESIO-SAIL-MONOROTAIA-001,正式 IFC 门板世界几何包围为 1000×38×2400 mm；官方 DWG 证明 Sail 单轨滑动系统产品族；未推断宿主与开向,1.00,yes,a104,M05,项目下单尺寸仍须由 A-104/厂家图关闭
DW-M06,DOOR_WINDOW,IfcDoor,M06 · Rimadesio Sail 轨道,Rimadesio,Sail,MONOROTAIA family reference,1,not_selected,partial,,主卧入口; 次卧,,,yes,global_id,0zjVS5FBbBewgUkk0fdfiv,IfcDoor,,,0zjVS5FBbBewgUkk0fdfiv,IFC-FORMAL-001;RIMADESIO-SAIL-MONOROTAIA-001,正式 IFC 轨道世界几何包围长 1200 mm；官方 DWG 证明 Sail 单轨滑动系统产品族；未把轨道包围尺寸冒充门洞尺寸,1.00,yes,a104,M06,作为同樘门轨道构件登记；项目下单尺寸仍须由 A-104/厂家图关闭
DW-M07,DOOR_WINDOW,IfcDoor,M07 · 主卧门,,,,1,not_selected,ifc_observed,,主卧入口,,,yes,global_id,1TW6$_GfnABRZusYvx0zZG,IfcDoor,,,1TW6$_GfnABRZusYvx0zZG,IFC-FORMAL-001,product world geometry + spatial container only; no host inferred,1.00,yes,a104,M07,M07 主卧门缺少宿主洞口且 OperationType=NOTDEFINED；Master A 仅为暂定优选、仍待取证，须依据官方 CAD、门表或现场开门照片确认合页侧、开启方向和门后占墙后再关闭 E-302。
DW-M08,DOOR_WINDOW,IfcDoor,M08 · Door,,,,1,not_selected,ifc_observed,,玄关,,,yes,global_id,2dxcvMre5F6fk90OTXSFJH,IfcDoor,,,2dxcvMre5F6fk90OTXSFJH,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,M08,
DW-W01,DOOR_WINDOW,IfcWindow,W01 · Window.003,,,,1,not_selected,ifc_observed,,客卫飘窗,,,yes,global_id,2lLDddG5f06Q_oQZwIEaZ8,IfcWindow,,,2lLDddG5f06Q_oQZwIEaZ8,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,W01,
DW-W02,DOOR_WINDOW,IfcWindow,W02 · Window.008,,,,1,not_selected,ifc_observed,,次卧飘窗,,,yes,global_id,2nisU4bAr9MfEP9b7LwE2g,IfcWindow,,,2nisU4bAr9MfEP9b7LwE2g,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,W02,
DW-W03,DOOR_WINDOW,IfcWindow,W03 · Window.011,,,,1,not_selected,ifc_observed,,次卧飘窗,,,yes,global_id,0sj5O$jhz2Huyt2vHf63WK,IfcWindow,,,0sj5O$jhz2Huyt2vHf63WK,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,W03,
DW-W04,DOOR_WINDOW,IfcWindow,W04 · Window,,,,1,not_selected,ifc_observed,,书房飘窗,,,yes,global_id,137J_TtpvDY9ZtjaOlzqN6,IfcWindow,,,137J_TtpvDY9ZtjaOlzqN6,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,W04,
DW-W05,DOOR_WINDOW,IfcWindow,W05 · Window.002,,,,1,not_selected,ifc_observed,,主卫湿区飘窗,,,yes,global_id,2dOhpqsXX1VP_tLBFGpjmu,IfcWindow,,,2dOhpqsXX1VP_tLBFGpjmu,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,W05,
DW-W06,DOOR_WINDOW,IfcWindow,W06 · Window.010,,,,1,not_selected,ifc_observed,,主卧飘窗,,,yes,global_id,3tH7BX5UbF2uE6eYlcKELR,IfcWindow,,,3tH7BX5UbF2uE6eYlcKELR,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,W06,
DW-W07,DOOR_WINDOW,IfcWindow,W07 · Window.009,,,,1,not_selected,ifc_observed,,主卧飘窗,,,yes,global_id,3PzBz6aub8V8l6xG$qanOV,IfcWindow,,,3PzBz6aub8V8l6xG$qanOV,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,W07,
DW-W08,DOOR_WINDOW,IfcWindow,W08 · Window,,,,1,not_selected,ifc_observed,,主卧飘窗,,,yes,global_id,3ttzd3zSL0JA3lLsFDfLiR,IfcWindow,,,3ttzd3zSL0JA3lLsFDfLiR,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,W08,
DW-W09,DOOR_WINDOW,IfcWindow,W09 · Window.007,,,,1,not_selected,ifc_observed,,餐厅飘窗,,,yes,global_id,1KBBoRNWb1Svpz9__rmYKy,IfcWindow,,,1KBBoRNWb1Svpz9__rmYKy,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,W09,
DW-W10,DOOR_WINDOW,IfcWindow,W10 · Window.004,,,,1,not_selected,ifc_observed,,餐厅飘窗,,,yes,global_id,1uQsUUwhT9Y8fHZJQtvJqa,IfcWindow,,,1uQsUUwhT9Y8fHZJQtvJqa,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,W10,
DW-W11,DOOR_WINDOW,IfcWindow,W11 · Window,,,,1,not_selected,ifc_observed,,中厨飘窗,,,yes,global_id,1_4ddWLZ96JQ3X7SvSZrnR,IfcWindow,,,1_4ddWLZ96JQ3X7SvSZrnR,IFC-FORMAL-001,IfcRelFillsElement + IfcRelVoidsElement + nominal size/opening geometry,1.00,no,a104,W11,
HVAC-001,HVAC,ducted_indoor_unit,A02; A03,日立/海信日立,RPIZ-22FSLN5QDF/P 700x447x192,18-50,2,candidate,candidate,,吊顶内,,,yes,ifc_type_global_id,10_Arew0nAGOoYjFDTyzcn,IfcElectricAppliance,AC700F,10_Arew0nAGOoYjFDTyzcn,1QBdVekDnBsOleyo9PM6rT; 06GpMzzWj1XQobAhD35cgU,RCP1-HVAC-IFACE-001,型号在封面范围内；第3页给出机体/吊装尺寸；第5页给出接管侧与18–50容量段气管φ12.7 mm、液管φ6.35 mm；第6页给出外径32 mm PVC排水与1/25–1/100坡度,0.90,yes,hvac_interface,RCP1-HVAC-IFACE-001,设备局部+X端面只作综合服务路线的接管侧候选；不得把端面中心当作三个独立厂家端口
HVAC-002,HVAC,ducted_indoor_unit,A01; A04,日立/海信日立,RPIZ-22FSLN5QD/P 700x447x192,18-50,2,candidate,candidate,,吊顶内,,,yes,ifc_type_global_id,2dvNw761v4cgkv5QvrQtre,IfcElectricAppliance,AC700,2dvNw761v4cgkv5QvrQtre,33chLv3TzEOhKalIJJAPNF; 1PUCikoaP5fgiYt8sJd8$6,RCP1-HVAC-IFACE-002,型号在封面范围内；接管侧、18–50容量段冷媒管径及排水要求可作后续接口深化依据,0.90,yes,hvac_interface,RCP1-HVAC-IFACE-002,当前批次未生成A01/A04路线，不自动复制A02/A03控制点
HVAC-003,HVAC,ducted_indoor_unit,A05,日立/海信日立,RPIZ-71FSLN5Q/P 1180x447x192,63-71,1,candidate,candidate,,吊顶内,,,yes,ifc_type_global_id,0greWYU5v9BBjuI$1v0flf,IfcElectricAppliance,AC1180,0greWYU5v9BBjuI$1v0flf,1yW7DASIz8qA$2j8z9tdl2,RCP1-HVAC-IFACE-003;RCP1-HVAC-IFACE-005,P01530Q 以 RPIZ-18~71*LN5Q* 通配范围覆盖 A05，可确认机身吊杆风口检修与风管条件；P02010Q 不覆盖当前无 D 型号文本,0.90,yes,hvac_interface,RCP1-HVAC-IFACE-003,冷媒管径、冷凝水管径、/P 接管侧和接口坐标仍须铭牌、厂家选型表或型号专属安装手册关闭
HVAC-004,HVAC,ducted_indoor_unit,A06,,,,1,candidate,candidate,,吊顶内,,,yes,global_id,0YzEUom7522RIg1TonOQXn,IfcUnitaryEquipment,,,0YzEUom7522RIg1TonOQXn,RCP1-HVAC-IFACE-004;RCP1-A06-LEGACY-001,正式 IFC 已建立 placement-only IfcUnitaryEquipment/AIRCONDITIONINGUNIT 身份与 CEL 归属；原 924 个产品世界几何变化 0.0 mm,1.00,yes,hvac_interface,RCP1-HVAC-IFACE-004,机位与正式身份已关闭；厂家型号、容量、尺寸、端口、系统与检修条件仍待确认
ELECIFC-001,APPLIANCE,IfcElectricAppliance,SOCF04,,SOCF04,,3,existing,ifc_observed,,,,,no,ifc_type_global_id,0tkshmWOTDCQmPiR4rYvg$,IfcElectricAppliance,SOCF04,0tkshmWOTDCQmPiR4rYvg$,3Cz0fQK8f54AFcm1SrjsGr;22tO8BAFTDWPLxqXvDzGct;23EqZuJ7zEw8JjKNbjSYrg,IFC-FORMAL-001,formal IFC inventory,1.00,yes,ifc_inventory,,对象已机械纳入覆盖；最终产品与厂家安装条件待确认
ELECIFC-002,APPLIANCE,IfcElectricAppliance,SOC01,,SOC01,,2,existing,ifc_observed,,,,,no,ifc_type_global_id,1brevvVTLEUvLEAw9$zA$$,IfcElectricAppliance,SOC01,1brevvVTLEUvLEAw9$zA$$,3KXtmVvejA78j_iAS$kydj;0laejMoxn8Lu_X3FZaCXmi,IFC-FORMAL-001,formal IFC inventory,1.00,yes,ifc_inventory,,对象已机械纳入覆盖；最终产品与厂家安装条件待确认
ELECIFC-003,APPLIANCE,IfcElectricAppliance,WD01,,WD01,,1,existing,ifc_observed,,,,,no,ifc_type_global_id,2wjsvriqLEgg_LD9g6hDE9,IfcElectricAppliance,WD01,2wjsvriqLEgg_LD9g6hDE9,0UOnmuAdP1MPy6p3olwiEU,IFC-FORMAL-001,formal IFC inventory,1.00,yes,ifc_inventory,,对象已机械纳入覆盖；最终产品与厂家安装条件待确认
ELECIFC-004,APPLIANCE,IfcElectricAppliance,SOC04,,SOC04,,6,existing,ifc_observed,,,,,no,ifc_type_global_id,3Kx5N7gZz4GgZzvzVb6BPX,IfcElectricAppliance,SOC04,3Kx5N7gZz4GgZzvzVb6BPX,2OOjqQDMHDjRcXQCniWXnp;1Em4DPFTvAiewlVGxRW_A3;2V7bN0abL47eCmJUa9Vx76;27MTenki57DQsfMryX_1U0;1Ys4uIWGf7c8$gUyLRFKw2;32sWy7gRHFC9EuWultV1Lq,IFC-FORMAL-001,formal IFC inventory,1.00,yes,ifc_inventory,,对象已机械纳入覆盖；最终产品与厂家安装条件待确认
FURIFC-001,FURNITURE,IfcFurniture,505 UP V1.LP.S,,,,1,existing,ifc_observed,,,,,no,global_id,19MpdkWqXC7uhUNhLQgrce,IfcFurniture,,,19MpdkWqXC7uhUNhLQgrce,IFC-FORMAL-001,formal IFC inventory,1.00,yes,ifc_inventory,,对象已机械纳入覆盖；最终产品与厂家安装条件待确认
FURIFC-002,FURNITURE,IfcFurniture,VVD Island Inner Sideboard,,,,1,existing,ifc_observed,,,,,no,global_id,34ibuNihL8HQ7qG1pk9Bvn,IfcFurniture,,,34ibuNihL8HQ7qG1pk9Bvn,IFC-FORMAL-001,formal IFC inventory,1.00,yes,ifc_inventory,,对象已机械纳入覆盖；最终产品与厂家安装条件待确认
FURIFC-003,FURNITURE,island_worktop,VVD Island custom marble worktop,Custom fabricator,Custom marble worktop,stone species / finish / edge profile pending,1,selected,partial,,VVD island,,VVD island,yes,global_id,1W$zPXJs93UfXs41zQw4oi,IfcFurniture,,,1W$zPXJs93UfXs41zQw4oi,IFC-FORMAL-001;USER-PLUM-SINKS-001,正式 IFC 对象名明确为岛台台面板；用户确认大理石定制方向,1.00,yes,ifc_inventory,,大理石材种、厚度、拼缝、纹理方向、边型、开孔、支撑和加工图仍待关闭
