requirement_id,equipment_id,discipline,parameter_key,value_text,value_number,unit,datum,value_origin,status,source_id,source_locator,blocks_release,notes
REQ-0028,APP-005,PLUM,drain_required,no,,,,user_input,confirmed,,,no,
REQ-0029,APP-005,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0030,APP-005,HVAC,ventilation_required,no,,,,user_input,confirmed,,,no,
REQ-0031,APP-006,ELEC,rated_power,,,W,,user_input,pending,,,no,产品额定功率保持 unknown；相关支路已用端口上限或候选最不利值闭合粗装，不将设计值写成产品名牌值。
REQ-0032,APP-006,ELEC,simultaneous_group,NS02-B,,,,user_input,confirmed,,,no,
REQ-0033,APP-006,PLUM,water_required,no,,,,user_input,confirmed,,,no,
REQ-0034,APP-006,PLUM,drain_required,no,,,,user_input,confirmed,,,no,
REQ-0035,APP-006,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0036,APP-006,HVAC,ventilation_required,no,,,,user_input,confirmed,,,no,
REQ-0037,APP-007,ELEC,rated_power,,,W,,user_input,pending,,,yes,
REQ-0038,APP-007,ELEC,simultaneous_group,CONTINUOUS,,,,user_input,confirmed,,,no,
REQ-0039,APP-007,PLUM,water_required,no,,,,user_input,confirmed,,,no,
REQ-0040,APP-007,PLUM,drain_required,no,,,,user_input,confirmed,,,no,
REQ-0041,APP-007,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0042,APP-007,HVAC,ventilation_required,yes,,,,user_input,confirmed,,,no,
REQ-0043,APP-008,ELEC,rated_power,,,W,,user_input,pending,,,yes,
REQ-0044,APP-008,ELEC,simultaneous_group,CONTINUOUS,,,,user_input,confirmed,,,no,
REQ-0045,APP-008,PLUM,water_required,no,,,,user_input,confirmed,,,no,
REQ-0046,APP-008,PLUM,drain_required,no,,,,user_input,confirmed,,,no,
REQ-0047,APP-008,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0048,APP-008,HVAC,ventilation_required,yes,,,,user_input,confirmed,,,no,
REQ-0049,APP-009,ELEC,rated_power,,2000,W,,user_input,confirmed,,,no,
REQ-0050,APP-009,ELEC,simultaneous_group,DISHWASHER-A,,,,user_input,confirmed,,,no,
REQ-0051,APP-009,PLUM,water_required,yes,,,,user_input,confirmed,,,no,
REQ-0052,APP-009,PLUM,drain_required,yes,,,,user_input,confirmed,,,no,
REQ-0053,APP-009,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0054,APP-009,HVAC,ventilation_required,no,,,,user_input,confirmed,,,no,
REQ-0055,APP-009,MULTI,rated_voltage,,220,V,,official_exact_model,confirmed,APP-DW-SPEC-001,,no,
REQ-0056,APP-009,MULTI,rated_current,,10,A,,official_exact_model,confirmed,APP-DW-SPEC-001,,no,
REQ-0057,APP-009,MULTI,product_height,,775,mm,,official_exact_model,confirmed,APP-DW-SPEC-001,,no,
REQ-0058,APP-009,MULTI,product_width,,598,mm,,official_exact_model,confirmed,APP-DW-SPEC-001,,no,
REQ-0059,APP-009,MULTI,product_depth,,550,mm,,official_exact_model,confirmed,APP-DW-SPEC-001,,no,
REQ-0060,APP-009,MULTI,niche_height_min,,780,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0061,APP-009,MULTI,niche_height_max,,835,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0062,APP-009,MULTI,niche_width_min,,600,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0063,APP-009,MULTI,niche_width_max,,608,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0064,APP-009,MULTI,niche_depth_min,,550,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0065,APP-009,MULTI,service_opening_width_min,,100,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0066,APP-009,MULTI,service_opening_height_min,,50,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0067,APP-009,MULTI,water_connection,G3/4 cold water,,,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0068,APP-009,MULTI,drain_connection_od,,38,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0069,APP-009,MULTI,water_pressure_min,,0.05,MPa,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0070,APP-009,MULTI,water_pressure_max,,1,MPa,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0071,APP-009,MULTI,water_flow_min,,10,L/min,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0072,APP-009,MULTI,cold_water_temperature_max,,25,°C,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0073,APP-009,MULTI,door_panel_width,,594,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0074,APP-009,MULTI,door_panel_thickness_max,,20,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0075,APP-009,MULTI,door_panel_weight_min,,3.5,kg,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0076,APP-009,MULTI,door_panel_weight_max,,8.5,kg,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0077,APP-010,ELEC,rated_power,,2000,W,,user_input,confirmed,,,no,
REQ-0078,APP-010,ELEC,simultaneous_group,DISHWASHER-B,,,,user_input,confirmed,,,no,
REQ-0079,APP-010,PLUM,water_required,yes,,,,user_input,confirmed,,,no,
REQ-0080,APP-010,PLUM,drain_required,yes,,,,user_input,confirmed,,,no,
REQ-0081,APP-010,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0082,APP-010,HVAC,ventilation_required,no,,,,user_input,confirmed,,,no,
REQ-0083,APP-010,MULTI,rated_voltage,,220,V,,official_exact_model,confirmed,APP-DW-SPEC-001,,no,
REQ-0084,APP-010,MULTI,rated_current,,10,A,,official_exact_model,confirmed,APP-DW-SPEC-001,,no,
REQ-0085,APP-010,MULTI,product_height,,775,mm,,official_exact_model,confirmed,APP-DW-SPEC-001,,no,
REQ-0086,APP-010,MULTI,product_width,,598,mm,,official_exact_model,confirmed,APP-DW-SPEC-001,,no,
REQ-0087,APP-010,MULTI,product_depth,,550,mm,,official_exact_model,confirmed,APP-DW-SPEC-001,,no,
REQ-0088,APP-010,MULTI,niche_height_min,,780,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0089,APP-010,MULTI,niche_height_max,,835,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0090,APP-010,MULTI,niche_width_min,,600,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0091,APP-010,MULTI,niche_width_max,,608,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0092,APP-010,MULTI,niche_depth_min,,550,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0093,APP-010,MULTI,service_opening_width_min,,100,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0094,APP-010,MULTI,service_opening_height_min,,50,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0095,APP-010,MULTI,water_connection,G3/4 cold water,,,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0096,APP-010,MULTI,drain_connection_od,,38,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0097,APP-010,MULTI,water_pressure_min,,0.05,MPa,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0098,APP-010,MULTI,water_pressure_max,,1,MPa,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0099,APP-010,MULTI,water_flow_min,,10,L/min,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0100,APP-010,MULTI,cold_water_temperature_max,,25,°C,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0101,APP-010,MULTI,door_panel_width,,594,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0102,APP-010,MULTI,door_panel_thickness_max,,20,mm,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0103,APP-010,MULTI,door_panel_weight_min,,3.5,kg,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0104,APP-010,MULTI,door_panel_weight_max,,8.5,kg,,official_exact_model,confirmed,APP-DW-INSTALL-001,,no,
REQ-0105,APP-011,ELEC,rated_power,,3400,W,,user_input,confirmed,,,no,
REQ-0106,APP-011,ELEC,simultaneous_group,COOKING-A,,,,user_input,confirmed,,,no,
REQ-0107,APP-011,PLUM,water_required,no,,,,user_input,confirmed,,,no,
REQ-0108,APP-011,PLUM,drain_required,no,,,,user_input,confirmed,,,no,
REQ-0109,APP-011,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0110,APP-011,HVAC,ventilation_required,yes,,,,user_input,confirmed,,,no,
REQ-0111,APP-011,MULTI,rated_voltage,,220,V,,official_exact_model,confirmed,APP-011-OFFICIAL-001,,no,
REQ-0112,APP-011,MULTI,frequency,,50,Hz,,official_exact_model,confirmed,APP-011-OFFICIAL-001,,no,
REQ-0113,APP-011,MULTI,rated_current,,16,A,,official_exact_model,confirmed,APP-011-OFFICIAL-001,,no,
REQ-0114,APP-011,MULTI,product_height,,595,mm,,official_exact_model,confirmed,APP-011-OFFICIAL-001,,no,
REQ-0115,APP-011,MULTI,product_width,,594,mm,,official_exact_model,confirmed,APP-011-OFFICIAL-001,,no,
REQ-0116,APP-011,MULTI,product_depth,,548,mm,,official_exact_model,confirmed,APP-011-OFFICIAL-001,,no,
REQ-0117,APP-011,MULTI,niche_width_min,,560,mm,,official_exact_model,confirmed,APP-011-OFFICIAL-001,,no,
REQ-0118,APP-011,MULTI,niche_width_max,,568,mm,,official_exact_model,confirmed,APP-011-OFFICIAL-001,,no,
REQ-0119,APP-011,MULTI,niche_height_min,,585,mm,,official_exact_model,confirmed,APP-011-OFFICIAL-001,,no,
REQ-0120,APP-011,MULTI,niche_height_max,,595,mm,,official_exact_model,confirmed,APP-011-OFFICIAL-001,,no,
REQ-0121,APP-011,MULTI,niche_depth_min,,550,mm,,official_exact_model,confirmed,APP-011-OFFICIAL-001,,no,
REQ-0122,APP-011,MULTI,ventilation_area_min,,200,cm2,,official_exact_model,confirmed,APP-011-OFFICIAL-001,,no,
REQ-0123,APP-012,ELEC,rated_power,,0,W,,user_input,confirmed,,,no,
REQ-0124,APP-012,ELEC,simultaneous_group,COOKING-B,,,,user_input,confirmed,,,no,
REQ-0125,APP-012,PLUM,water_required,no,,,,user_input,confirmed,,,no,
REQ-0126,APP-012,PLUM,drain_required,no,,,,user_input,confirmed,,,no,
REQ-0127,APP-012,GAS,gas_required,yes,,,,user_input,confirmed,,,no,
REQ-0128,APP-012,HVAC,ventilation_required,yes,,,,user_input,confirmed,,,no,
REQ-0129,APP-012,MULTI,gas_type,天然气12T,,,,official_exact_model,confirmed,APP-012-PHOTO-001,,no,
REQ-0130,APP-012,MULTI,gas_pressure,,2.0,kPa,,official_exact_model,confirmed,APP-012-PHOTO-001,,no,
REQ-0131,APP-012,MULTI,product_width,,920,mm,,official_exact_model,confirmed,APP-012-OFFICIAL-001,,no,
REQ-0132,APP-012,MULTI,product_depth,,500,mm,,official_exact_model,confirmed,APP-012-OFFICIAL-001,,no,
REQ-0133,APP-012,MULTI,product_height,,150,mm,,official_exact_model,confirmed,APP-012-OFFICIAL-001,,no,
REQ-0134,APP-012,MULTI,worktop_cutout_width,,880,mm,,official_exact_model,confirmed,APP-012-OFFICIAL-001,,no,
REQ-0135,APP-012,MULTI,worktop_cutout_depth,,455,mm,,official_exact_model,confirmed,APP-012-OFFICIAL-001,,no,
REQ-0136,APP-012,MULTI,worktop_cutout_corner_radius,,15,mm,,official_exact_model,confirmed,APP-012-OFFICIAL-001,,no,
REQ-0137,APP-012,MULTI,cabinet_ventilation_area_min,,100,cm2,,official_exact_model,confirmed,APP-012-OFFICIAL-001,,no,
REQ-0138,APP-012,MULTI,clearance_below_min,,100,mm,,official_exact_model,confirmed,APP-012-OFFICIAL-001,,no,
REQ-0139,APP-012,MULTI,separator_to_worktop_min,,120,mm,,official_exact_model,confirmed,APP-012-OFFICIAL-001,,no,
REQ-0140,APP-013,ELEC,rated_power,,385,W,,user_input,confirmed,,,no,
REQ-0141,APP-013,ELEC,simultaneous_group,COOKING-B,,,,user_input,confirmed,,,no,
REQ-0142,APP-013,PLUM,water_required,no,,,,user_input,confirmed,,,no,
REQ-0143,APP-013,PLUM,drain_required,no,,,,user_input,confirmed,,,no,
REQ-0144,APP-013,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0145,APP-013,HVAC,ventilation_required,yes,,,,user_input,confirmed,,,no,
REQ-0146,APP-013,MULTI,rated_voltage,,220,V,,official_exact_model,confirmed,APP-013-OFFICIAL-001,,no,
REQ-0147,APP-013,MULTI,frequency,,50,Hz,,official_exact_model,confirmed,APP-013-OFFICIAL-001,,no,
REQ-0148,APP-013,MULTI,product_width,,895,mm,,official_exact_model,confirmed,APP-013-OFFICIAL-001,,no,
REQ-0149,APP-013,MULTI,product_depth,,345,mm,,official_exact_model,confirmed,APP-013-OFFICIAL-001,,no,
REQ-0150,APP-013,MULTI,product_height,,873,mm,,official_exact_model,confirmed,APP-013-OFFICIAL-001,,no,
REQ-0151,APP-013,MULTI,duct_inner_diameter_min,,160,mm,,official_exact_model,confirmed,APP-013-OFFICIAL-001,,no,
REQ-0152,APP-013,MULTI,wall_opening_diameter_candidate,,180,mm,,official_exact_model,confirmed,APP-013-OFFICIAL-001,,no,
REQ-0153,APP-013,MULTI,ceiling_opening_diameter,,190,mm,,official_exact_model,confirmed,APP-013-OFFICIAL-001,,no,
REQ-0154,APP-013,MULTI,access_opening_width,,400,mm,,official_exact_model,confirmed,APP-013-OFFICIAL-001,,no,
REQ-0155,APP-013,MULTI,access_opening_height,,400,mm,,official_exact_model,confirmed,APP-013-OFFICIAL-001,,no,
REQ-0156,APP-013,MULTI,clearance_to_gas_hob_pan_support_min,,650,mm,,official_exact_model,confirmed,APP-013-OFFICIAL-001,,no,
REQ-0157,APP-014,ELEC,rated_power,,2200,W,,official_exact_model,confirmed,APP-014-SIEMENS-MANUAL-001,,no,
REQ-0158,APP-014,ELEC,simultaneous_group,WATER-A,,,,user_input,confirmed,,,no,
REQ-0159,APP-014,PLUM,water_required,yes,,,,official_exact_model,confirmed,APP-014-SIEMENS-MANUAL-001,,no,
REQ-0160,APP-014,PLUM,drain_required,yes,,,,official_exact_model,confirmed,APP-014-SIEMENS-MANUAL-001,,no,
REQ-0161,APP-014,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0162,APP-014,HVAC/INT1,ventilation_required,yes,,,,official_exact_model,confirmed,APP-014-SIEMENS-MANUAL-001,,no,嵌柜须保持通风。
REQ-0163,APP-015,ELEC,rated_power,,0,,,user_input,confirmed,OWNER-INBOX-20260814-001,,no,功能别名，不新增实物或接口。
REQ-0164,APP-015,ELEC,simultaneous_group,APP-014_alias_no_count,,,,user_input,confirmed,OWNER-INBOX-20260814-001,,no,功能别名，不新增实物或接口。
REQ-0165,APP-015,PLUM,water_required,not_applicable_alias,,,,user_input,confirmed,OWNER-INBOX-20260814-001,,no,功能别名，不新增实物或接口。
REQ-0166,APP-015,PLUM,drain_required,not_applicable_alias,,,,user_input,confirmed,OWNER-INBOX-20260814-001,,no,功能别名，不新增实物或接口。
REQ-0167,APP-015,GAS,gas_required,not_applicable_alias,,,,user_input,confirmed,OWNER-INBOX-20260814-001,,no,功能别名，不新增实物或接口。
REQ-0168,APP-015,HVAC,ventilation_required,not_applicable_alias,,,,user_input,confirmed,OWNER-INBOX-20260814-001,,no,功能别名，不新增实物或接口。
REQ-0169,APP-016,ELEC,rated_power,,,W,,pending,pending,APP-016-FRANKE-SLIM50-CN-RESEARCH-20260818,最终产品未选；研究候选官方资料不完整,yes,F50 保留为基准候选；Franke 134.0721.210 仅研究候选。最终所选同型号铭牌／安装图返回前保持 unknown，不从其他 SKU 外推。
REQ-0170,APP-016,ELEC,simultaneous_group,WATER-A,,,,user_input,confirmed,,,no,
REQ-0171,APP-016,PLUM,water_required,no,,,,user_input,confirmed,,,no,
REQ-0172,APP-016,PLUM,drain_required,yes,,,,user_input,confirmed,,,no,
REQ-0173,APP-016,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0174,APP-016,HVAC,ventilation_required,no,,,,user_input,confirmed,,,no,
REQ-0175,APP-017,ELEC,rated_power,,2700,W,,project_candidate,confirmed,APP-017-SIEMENS-WASHER-MANUAL-001,,no,两台额定功率算术合计；不自动决定共用回路。
REQ-0176,APP-017,ELEC,simultaneous_group,LAUNDRY-A,,,,user_input,confirmed,,,no,
REQ-0177,APP-017,PLUM,water_required,yes,,,,official_exact_model,confirmed,APP-017-SIEMENS-WASHER-MANUAL-001,,no,仅洗衣机需要生活给水。
REQ-0178,APP-017,PLUM,drain_required,yes,,,,official_exact_model,confirmed,APP-017-SIEMENS-DRYER-MANUAL-001,,no,洗衣排水；干衣机可冷凝水盒或直接排水。
REQ-0179,APP-017,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0180,APP-017,HVAC,ventilation_required,yes,,,,official_exact_model,confirmed,APP-017-SIEMENS-DRYER-MANUAL-001,,no,开放柜、通风口畅通；不得六面密封。
REQ-0181,APP-018,ELEC,rated_power,,,W,,user_input,pending,,,yes,
REQ-0182,APP-018,ELEC,simultaneous_group,CONTINUOUS,,,,user_input,confirmed,,,no,
REQ-0183,APP-018,PLUM,water_required,no,,,,user_input,confirmed,,,no,
REQ-0184,APP-018,PLUM,drain_required,no,,,,user_input,confirmed,,,no,
REQ-0185,APP-018,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0186,APP-018,HVAC,ventilation_required,yes,,,,user_input,confirmed,,,no,
REQ-0187,FUR-Libelle,INT1,intended_use,存放酒和调酒器具,,,,user_input,confirmed,,,no,
REQ-0188,FUR-WD01,INT1,intended_use,衣物收纳及衣柜与墙体之间的旋转门系统,,,,user_input,confirmed,,,no,
REQ-0189,FUR-WD01L,INT1,intended_use,衣物收纳及衣柜与墙体之间的旋转门系统,,,,user_input,confirmed,,,no,
REQ-0190,FUR-WD02,INT1,intended_use,衣物收纳,,,,user_input,confirmed,,,no,
REQ-0191,FUR-WD03,INT1,intended_use,衣物收纳,,,,user_input,confirmed,,,no,
REQ-0192,FUR-BST01,INT1,intended_use,床头收纳,,,,user_input,confirmed,,,no,
REQ-0193,FUR-BST02,INT1,intended_use,床头收纳,,,,user_input,confirmed,,,no,
REQ-0194,FUR-BST03,INT1,intended_use,床头收纳,,,,user_input,confirmed,,,no,
REQ-0195,DW-M01,ARCH,nominal_width,,1465,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0196,DW-M01,ARCH,nominal_height,,2240,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0197,DW-M01,ARCH,operation_type,SLIDING_TO_LEFT,,,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0198,DW-M01,ARCH,host_relation,HOSTED,,,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0199,DW-M01,ARCH,sill_or_threshold_z,,0.000000,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0200,DW-M02,ARCH,nominal_width,,1465,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0201,DW-M02,ARCH,nominal_height,,2240,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0202,DW-M02,ARCH,operation_type,SLIDING_TO_LEFT,,,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0203,DW-M02,ARCH,host_relation,HOSTED,,,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0204,DW-M02,ARCH,sill_or_threshold_z,,0.000000,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0205,DW-M03,ARCH,nominal_width,,800,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0206,DW-M03,ARCH,nominal_height,,2000,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0207,DW-M03,ARCH,operation_type,SINGLE_SWING_RIGHT,,,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0208,DW-M03,ARCH,host_relation,HOSTED,,,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0209,DW-M03,ARCH,sill_or_threshold_z,,0.000000,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0210,DW-M04,ARCH,nominal_width,,900,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0211,DW-M04,ARCH,nominal_height,,2000,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0212,DW-M04,ARCH,operation_type,SINGLE_SWING_LEFT,,,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0213,DW-M04,ARCH,host_relation,HOSTED,,,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0214,DW-M04,ARCH,sill_or_threshold_z,,0.000000,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0215,DW-M05,ARCH,nominal_width,,1000,mm,,user_input,confirmed,OUTBOUND-FORM-DOOR-20260817,D01-D04；MS／2026-08-17,no,MS 确认项目名义门扇宽度；准确下单尺寸仍由 06 表和厂家项目加工图关闭，未写入正式 IFC。
REQ-0216,DW-M05,ARCH,nominal_height,,2400,mm,,user_input,confirmed,OUTBOUND-FORM-DOOR-20260817,D01-D04；MS／2026-08-17,no,MS 确认项目名义门扇高度；D03 的 2 道水平横档未确认并从项目要求删除；准确下单尺寸仍待厂家项目加工图。
REQ-0217,DW-M05,ARCH,operation_type,Sail MONOROTAIA single-track single-leaf; slide east/drawing-right,,,,user_input,confirmed,OUTBOUND-FORM-DOOR-20260817,D01-D02、D06；MS／2026-08-17,no,MS 明确纠正旧向左／西候选；当前项目方向为向东／图纸右侧滑开。厂家兼容与完整开启包络仍由 06 表及加工图关闭。
REQ-0218,DW-M05,ARCH,host_relation,UNHOSTED,,,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0219,DW-M05,ARCH,sill_or_threshold_z,,12.000000,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0220,DW-M06,ARCH,nominal_width,,2000,mm,,user_input,confirmed,OUTBOUND-FORM-DOOR-20260817,D04；MS／2026-08-17,no,MS 确认 2000 mm 项目名义顶轨；不沿用正式 IFC 的 1200 mm 早期示意。准确下单长度和固定方式待厂家加工图。
REQ-0221,DW-M06,ARCH,nominal_height,,,mm,,ifc_observed,pending,IFC-FORMAL-001,,yes,
REQ-0222,DW-M06,ARCH,operation_type,Sail MONOROTAIA concealed ceiling track; east/drawing-right slide; no continuous floor track; lower anti-sway/positioning component per Rimadesio final shop drawing,,,,research_conclusion,candidate,OUTBOUND-FORM-DOOR-VENDOR-20260817,D02、D04-D07；厂家复核 R01-R06,yes,MS 已确认同一门组、暗藏顶轨、无通长地轨、向东／图纸右侧滑开和检修要求；下部防摆／定位构件、吊顶固定与收口仍由 Rimadesio 项目加工图确认。
REQ-0223,DW-M06,ARCH,host_relation,UNHOSTED,,,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0224,DW-M06,ARCH,sill_or_threshold_z,,2407.699912,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0225,DW-M07,ARCH,nominal_width,,950,mm,,user_input,confirmed,OUTBOUND-FORM-DOOR-20260817,D08-D09；MS／2026-08-17,no,MS 确认项目名义宽度；准确下单尺寸仍由 06 表和厂家项目加工图关闭。
REQ-0226,DW-M07,ARCH,nominal_height,,2400,mm,,user_input,confirmed,OUTBOUND-FORM-DOOR-20260817,D08-D09；MS／2026-08-17,no,MS 确认项目名义高度；准确下单尺寸仍由 06 表和厂家项目加工图关闭。
REQ-0227,DW-M07,ARCH,operation_type,single Pivot; opens inward to master; parks at drawing-right fixed wall/guest-bedroom side,,,,user_input,confirmed,OUTBOUND-FORM-DOOR-20260817,D08-D12；MS／2026-08-17,no,MS 明确纠正旧图纸左侧停靠候选；当前为向主卧内开并停靠图纸右侧固定墙／次卧侧。厂家兼容、轴位和净距仍由 06 表及加工图关闭。
REQ-0228,DW-M07,ARCH,host_relation,UNHOSTED,,,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0229,DW-M07,ARCH,sill_or_threshold_z,,16.058349,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0230,DW-M08,ARCH,nominal_width,,900,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0231,DW-M08,ARCH,nominal_height,,2000,mm,,ifc_observed,observed,IFC-FORMAL-001,,no,
REQ-0232,DW-M08,ARCH,operation_type,SINGLE_SWING_LEFT,,,,ifc_observed,observed,IFC-FORMAL-001,,no,
