rule_id,rule_kind,locations,controlled_or_served_scope,device_or_datum,value,basis,confidence,review_required,status,automatic_ifc_write_allowed,notes
ELEC-DES-022,life_safety_product_candidate,R04,中厨,xiaomi_gas_alarm_recess_candidate,no_model_or_recess_locked,业主最新明确燃气报警器型号 unknown 且须由燃气公司确认；装饰件不承担准入证明,1.00,yes,superseded_by_gas_authority_gate,no,旧小米燃气报警器及 Ø94/Ø120×2/43mm 候选包络不得锁定；由 ELEC-DES-041 取代。
ELEC-DES-023,life_safety_positioning,R09;R14;R20,点型感烟火灾探测器,minimum_clearance_mm,wall_or_beam_500;unobstructed_radius_500;supply_air_edge_1500;perforated_supply_500;light_200,GB50116-2013安装约束及深圳市场监管部门发布DB4403/T 137-2021第10.4.3.3条,1.00,yes,verified_external_requirement,no,最终仍须服从具体产品说明和消防/设备方；现有风口模型不完整时只生成候选并保持发布阻断
ELEC-DES-024,life_safety_product_compliance,R04,家用可燃气体探测器,authority_and_product_compliance,required,市场监管总局明确家用探测器须按适用燃气种类选择并满足购买时现行强制标准与认证要求；用户明确燃气公司可能指定型号,1.00,yes,verified_external_requirement,no,燃气种类燃气公司指定型号CCC状态联动切断阀与安装位置未确认前不得下单或锁定预埋件
ELEC-DES-025,life_safety_requirement,R04,中厨,kitchen_fire_detection,required,用户明确厨房除可燃气体探测外还必须设置火灾探测；消防救援局提示厨房油烟环境使用感烟极易误报并建议采用感温探测,1.00,yes,confirmed_requirement_type_pending,no,按感温优先建立协调需求但不擅自替代消防设计；最终采用感烟感温或复合类型及其数量位置供电通信须由消防设备方确认
ELEC-DES-026,life_safety_positioning,R04,中厨,A106-FIRE-R04,XYZ_mm_1800_-4576_2400,候选位于既有四灯阵列中心；距最近灯具边缘662mm且距房间边界最小724mm；用户于2026-08-10完成人眼确认,1.00,no,position_confirmed_type_pending,no,只确认平面位置和现有天花下表面标高；已作为无实体几何的 IfcSensor/FIRESENSOR 定位点写入正式 IFC 并关联 R04；按感温优先协调但最终类型数量产品供电通信和厂家安装条件仍由消防设备方确认
ELEC-DES-027,review_acceptance,R01;R03;R06;R09;R10;R14;R20;R22,E-302/E-303/E-304 当前审核点,approximate_position,accepted_for_continued_coordination,用户于2026-08-10确认当前门口控制区新增插座卧室AP及客厅书房共享路由器的大概位置没有问题并同意继续推进,1.00,yes,partially_superseded_details_pending,no,门控只关闭门洞区域并继续以A/B墙侧候选审核；AP只关闭当前XY协调原则且候选Z为2720mm；共享路由器原房间区域占位已由ELEC-DES-028的玄关高柜平面点取代但Z仍未定；插座用途型式防水墙侧和最终安装条件仍待关闭
ELEC-DES-028,network_positioning,R01,R20;R22共享路由器,entry_high_cabinet_weak_current_box_bay,XY_mm_4600.016_-735.369;router_Z_TBD,用户明确路由器放门口柜内；官方01平面系统图DWG哈希ba355f6a…及验证DXF哈希706483de…的TEXT#2598C0/224270/224295、LEADER#224271、VIEWPORT#224238与柜体#22017E/220182共同取证,1.00,yes,position_confirmed_product_z_interfaces_pending,no,弱电箱底边H+350mm只属于箱体安装基准不得扩大为路由器高度；具体层板产品供电数据口散热检修净空及有线回程端口表待网络设备方关闭
ELEC-DES-029,network_existing_condition,R01,现有Huawei联通智家设备,current_installation,inside_metal_weak_current_box,用户于2026-08-11明确纠正设备实际放在弱电箱里运行；PHOTO-003显示设备位于箱内,1.00,no,confirmed_existing_condition,no,只记录现状事实；PHOTO-005为拍摄设备和端口标签而临时拉出箱体，不代表箱外日常运行或最终方案
ELEC-DES-030,network_cabinet_installation_review,R01,R20;R22共享路由器及入户网络设备,final_active_equipment_installation,retain_inside_box_only_if_product_RF_thermal_serviceability_checks_pass;otherwise_ventilated_shelf,现状设备位于金属弱电箱内且箱内线缆拥挤；最终主路由承担客厅书房无线覆盖但产品与柜体条件未定,0.80,yes,design_gate_pending_product_measurement_and_user_review,no,不得把箱外层板写成已确认；待光猫主路由PoE交换机清单、柜深层板Z、电源数据口、柜门关闭状态散热、射频覆盖及检修测试后选择最终安装方式
ELEC-DES-031,control_panel_role_separation,R10,主卧内外两块控制面板,distinct_control_panels,CTRL-MASTER-A;CTRL-MASTER-B,用户明确 Master A 位于主卧内并控制主卧氛围及重点照明；Master B 位于主卧入口外并控制客厅/书房/餐厅三组双控；两者不是墙侧二选一,1.00,yes,user_roles_confirmed_geometry_pending_a104,no,两块面板均不得冻结为施工点位；A-104 须依据官方 CAD 门表或现场开门照片确认 M07 合页侧、开启方向和门后占墙，再分别复核面板宽度、门套净距、见光板安装条件、墙面收口及每键标签
ELEC-DES-032,socket_form_planning,R03,岛台 NS-01 移动厨电,island_concealed_covered_socket,3_faces_1_position_each,业主确认 NS-01 三个面各一隐藏盖板插座；要求逐台记录功率后再统筹,1.00,yes,user_form_confirmed_power_data_pending,no,APP-001～003 功率未齐，不再使用旧 2.6–4.9kW 聚合包络。
ELEC-DES-033,circuit_capacity_planning,R03,岛台 NS-01 移动厨电,socket_circuit_candidate,pending_per_device_power_and_circuit_coordination,业主纠正：先逐台记录 APP-001～003 功率，再按火锅+一件小厨电同时工况统一回路统筹,1.00,yes,pending_power_data_no_circuit_count_locked,no,旧 2_independent_circuits 候选已撤销；不得在功率齐全前锁定回路数量、线径、保护器或 RCD。
ELEC-DES-034,socket_form_planning,R06,餐边柜 NS-02 咖啡设备,concealed_coffee_station_socket,linear_track_or_custom_flip_up,业主确认连接需求与使用位置；咖啡机二选一、手冲壶准确型号和磨豆机功率尚未关闭,0.90,yes,user_form_confirmed_product_and_power_pending,no,不再使用旧 2.35–4.0kW 聚合包络；最终模块数、墙侧、标高和线缆遮挡由餐边柜立面关闭。
ELEC-DES-035,circuit_capacity_planning,R06,餐边柜 NS-02 咖啡设备,socket_circuit_candidate,pending_selected_coffee_machine_and_grinder_power,业主确认咖啡机+磨豆机或手冲壶单独使用；GS3/E1 Prima EXP 候选功率不同且磨豆机未知,1.00,yes,pending_power_data_no_circuit_count_locked,no,旧 1_circuit_capacity_candidate 已撤销；逐台功率齐全后再统一回路统筹。
ELEC-DES-036,smart_switch_protocol_review,R01;R10,Entry 与 Master 智能开关产品,matter_transport_per_exact_sku_candidate,egg_family_preferred_for_entry_master;exact_sku_pending;2_5d_neo_alternative_only,业主确认各面板控制角色；JINK 官方 EGG 产品族与淘宝页支持研究优选；2.5D Neo 页面协议信息冲突,0.85,yes,research_conclusion_exact_sku_wiring_and_certificate_pending,no,EGG/2.5D Neo 均未选定准确 SKU；CSA 8e 证书不得借用；端子图、每路负载、传统有线双控、底盒净深和平嵌适配未关闭。
ELEC-DES-037,smart_switch_load_calculation,R01;R10;ALL_LIGHTING_CIRCUITS,JINK EGG 候选继电器所控 LED/射灯回路,per_circuit_connected_load_and_inrush,actual_length_x_W_per_m_plus_driver_input_and_inrush,业主纠正负载算法；示例 5W/m×200m=1000W 仅作算术说明,1.00,yes,confirmed_method_product_limits_pending,no,不得把 1000W 当作项目已测负荷；官方 16A/2000W max 的整机或单路口径未明，须逐回路核实。
ELEC-DES-038,network_candidate_architecture,R09;R14,主卧与次卧吸顶 AP,PoE_AP_candidate,AP362E_or_RG-EAP262E;CAT6_home_run;no_local_220V_for_current_candidates,预埋件只明确两款候选；厂家资料证明 PoE 能力；业主接受网线回弱电箱作为推荐方案,0.90,yes,research_conclusion_final_ecosystem_and_testing_pending,no,若无锐捷控制器/网关生态暂优先研究 AP362E；不是华为 FTTR 光从机方案。
ELEC-DES-039,network_existing_measurement,R01,玄关弱电箱,entry_wall_distance_and_box_depth,entry_wall_distance_525mm;box_depth_approx_110mm,业主明确纠正 525m 为 525mm，并提供弱电箱约 110mm 深度,1.00,yes,owner_observed_dimensions_device_clearance_pending,no,110mm 为约值；插头突出、线缆弯曲、设备厚度、散热与检修净空仍待实测。
ELEC-DES-040,bedside_socket_minimum,ALL_BEDS,所有左右两侧均可使用的床位,simultaneously_usable_220V_socket_positions_per_side,minimum_2_per_usable_side;USB_TypeC_excluded,业主 2026-08-14 直接确认,1.00,yes,confirmed_quantity_exact_positions_pending,no,双人床两侧合计至少 4 个；结合床、床头柜、软包和窗帘确定准确点位/高度，插头不得妨碍贴墙和抽屉。
ELEC-DES-041,gas_alarm_authority_gate,R04,中厨家用可燃气体报警器,authority_approved_exact_model_and_installation,required_before_selection_and_recess_detail,业主要求先向当地燃气公司确认；候选厂家资料不等于珠海准入,1.00,yes,confirmed_process_exact_model_unknown,no,候选型号仅供咨询；须关闭燃气种类、认证、供货安装责任、切断阀、供电、净距、平嵌许可和验收。
