candidate_reference,space_global_id,space_long_name,space_name,current_reference,centre_x_mm,centre_y_mm,centre_z_mm,clockwise_angle_deg,basis,confidence,review_required,status,formal_ifc_write_allowed
R12,3a4COIs5X7lgDirMBDT4Vs,主卫湿区,SPACE-MERGED-002-主卫湿区,R12,-5700.000,1400.000,1400.000,191.796734,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R13,2QIFZrZIr8GQwOQOo0KVFP,主卫湿区飘窗,SPACE-CELL-01-02-P-Q,R13,-5700.000,3000.000,1400.000,206.961781,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R14,0WyQ2Z9pX5qgwfdTOZwAkw,次卧,SPACE-MERGED-003-次卧,R14,-3300.000,1700.000,1400.000,210.548154,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R15,004pVXwHv1W8qavLfulRuQ,次卧飘窗,SPACE-CELL-02-05-Q-R,R15,-3300.000,3600.000,1400.000,230.440947,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R16,25Lcecvwn9lg6g3QKgRlJU,客卫干区,SPACE-CELL-06-07-O-T,R16,-950.000,710.000,1400.000,253.078308,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R17,3bF9ub5u5FFgmXQtSgfWnW,客卫,SPACE-MERGED-006-客卫,R17,-950.000,2310.000,1400.000,260.437857,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R18,3I284j2FzFG9RguqlzYOH2,客卫飘窗,SPACE-CELL-06-07-Q-R,R18,-950.000,3600.000,1400.000,261.808188,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R19,3duvnJsPDAxQ6DrC$1LE7S,阳台,SPACE-MERGED-014-阳台,R19,1900.000,4050.000,1400.000,297.017007,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R20,2wgBPVUpv2DvcZCfbe6fdv,客厅,SPACE-MERGED-009-客厅,R20,1900.000,1700.000,1400.000,319.940950,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R21,31XjLjEb14IRdtHOXVjDVW,书房飘窗,SPACE-CELL-11-13-Q-R,R21,5250.000,3600.000,1400.000,322.607244,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R22,0XmeOOraz9tP2_CetH7YYh,书房,SPACE-MERGED-013-书房,R22,5250.000,1700.000,1400.000,337.447398,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
